Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Providence,,,,1,1,1,,,1,1,,301,27,48,,159,36,376,195,571,8,,76,162,6,1080,41,159,156,3,9,76,112,42,70,1,14,,8,1,3,,,25,2,3156,4423,7579,6,2529,1329,3858,5,579,1631,2210,59,14380,5,805,740,1545,5,383,,12445,32994,75419,92,3,70,377,1082,1624,1,510,15723,81380,97103,,,,,,1,102,2,120,,,120,13,738,7350,214,7564,2482,544,3026,5867,617872,947154
1985,1986,Pueblo,,,,,1,,,,,1,2,56,17,20,1,49,1,93,50,143,4,1,3,14,,162,4,59,54,5,60,22,12,5,7,,,,9,,,,,9,,,,,1,20,35,55,1,,149,149,6,991,1,126,132,258,,,,2987,6815,11264,,,,15,79,94,6,1057,28579,205958,234537,,,,,,,,,,,15,15,3,201,2290,173,2463,415,186,601,1041,86513,470000
1985,1986,Raleigh,,,,,1,,,,,,,55,2,12,1,26,,69,26,95,3,,2,6,,107,,62,60,2,22,2,5,1,4,,,,9,,,,,9,,,,,1,143,149,292,,,,,17,3542,,,,,,,,2204,5515,11562,,,1,40,157,198,1,90,155,516,671,,,,,,,,1,2,5,1,8,,,1291,329,1620,158,399,557,373,60557,2778311
1985,1986,Rapid City,,,,,1,,,,,,,37,3,3,,46,,43,46,89,1,,18,13,,91,,82,52,30,33,22,4,2,2,,,,9,,,,,9,,,,,,,,,2,194,200,394,1,319,2,168,181,349,,,,2725,5948,9744,7,2,3,18,61,91,,,,,,,,,,,,,,,,,,,,1432,192,1624,185,156,341,434,35465,202816
1985,1986,Reno-Las Vegas,,,,,1,,,,,,,40,2,7,,44,,49,44,93,8,,3,11,,114,3,47,45,2,14,5,22,3,19,,,,7,,,,,7,,,,,2,748,815,1563,,,,,11,3081,,,,,4,85,,2017,6427,13180,6,,6,32,163,207,2,482,17679,55694,73373,,,,,,3,60,,,,,,,,2545,320,2865,433,354,787,1037,144000,944615
1985,1986,Richmond,,,,,1,,,,1,,,152,8,26,2,43,,186,43,229,11,4,8,8,,368,11,112,110,2,23,19,44,25,19,,,,28,,,,,28,,,,,6,697,697,1394,4,540,540,1080,25,6514,1,114,114,228,,,,5152,12112,26508,2,,,111,540,653,5,1325,46698,232433,279131,2,87,387,388,775,2,69,5,,176,70,246,5,418,2916,1174,4090,405,845,1250,1158,124017,4044207
1985,1986,Rochester,,,,,1,1,,,1,1,1,270,2,75,2,165,30,347,195,542,10,3,49,163,11,1017,27,161,154,7,20,,,,,,,,9,,,,,9,,,,,,,,,8,2954,2955,5909,76,18217,3,195,196,391,1,150,,8500,29000,62176,31,,42,160,1030,1263,3,702,20387,274549,294936,,,,,,2,154,1,225,75,65,365,2,591,6632,329,6961,2005,1140,3145,3754,379200,1432000
1985,1986,Rockford,,,,,1,,,,,1,,136,8,23,1,73,11,167,84,251,1,2,72,22,3,531,7,100,96,4,8,,52,13,39,,,,19,,3,,,22,,,,,6,1729,1660,3389,2,384,355,739,45,11762,,,,,,,,4955,17438,38305,22,,,78,599,699,4,1017,30062,246141,276203,,,,,,1,154,2,32,28,250,310,4,277,4418,486,4904,955,686,1641,1548,243224,1027342
1985,1986,Rockville Centre,,,,,1,1,,,1,,,496,17,73,3,92,35,586,127,713,61,3,131,130,5,1903,29,129,129,,10,,,,,1,50,27,1,,,,,51,2,392,3646,3038,5,3582,3766,7348,9,3202,3299,6501,83,30308,5,382,413,795,1,70,,13993,95286,157390,10,,104,530,1433,2077,4,1311,56514,203936,260450,,,,,,,,,,,,,2,348,19267,635,19902,7255,1941,9196,11106,1320167,2620203
1985,1986,Romanian Catholic Exarchate,,,,,1,,,,,,,11,,2,,,,13,,13,2,2,2,,,,,16,12,4,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,28,7,35,14,3,17,49,3400,
