Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Albany,,,,,1,,,,,,,298,20,67,2,160,32,385,192,577,3,2,60,88,6,1240,40,201,193,8,48,,,,,,,,15,,,,,15,4,3300,3300,6600,13,2203,2203,4406,,,,,55,12939,,,,,2,200,,10480,27991,62631,6,,35,155,689,885,4,1135,42550,362430,404980,,,,,,1,67,4,278,279,58,615,7,1000,7091,,7091,5382,5381,10763,4924,408648,1472684
1985,1986,Alexandria-Shreveport,,,,,1,,,,2,,,78,18,18,1,35,3,114,38,152,3,3,3,10,,192,1,83,76,7,48,5,40,4,36,,,,15,,,,,15,,,,,5,674,750,1424,2,337,260,597,23,5897,,,,,2,320,,2261,6508,17022,3,,8,59,426,496,3,1304,52672,98826,151498,,,,,,,,,,,,,2,236,1719,363,2082,357,368,725,936,85894,1083132
1985,1986,Allentown,,,,,1,,,,1,,,249,11,51,,92,5,311,97,408,6,4,32,20,1,852,19,153,145,8,20,,140,25,115,,,,48,4,50,11,,98,2,978,978,1956,9,2233,2234,4467,1,,90,90,64,13902,,,,,,,,2265,10102,32880,35,,,212,616,863,3,781,28750,505309,534059,,,,,,1,65,,,,83,83,1,194,3918,184,4102,1087,825,1912,2953,253481,1027302
1985,1986,Altoona-Johnstown,,,,,1,,,,,,,159,3,20,,86,9,182,95,277,,5,5,19,,169,21,122,119,3,17,11,72,14,58,,,,21,,,,,21,2,1025,1120,2145,3,839,798,1637,,,,,37,7251,,,,,,,,5443,10620,27117,15,,4,82,397,498,2,386,12057,98251,110308,,,,,,1,42,,,,,,2,171,2285,345,2630,629,472,1101,1630,147357,654338
1985,1986,Amarillo,,,,,1,,,,,,,27,10,2,,15,,39,15,54,1,1,20,1,,145,,27,25,2,11,3,18,2,16,,,,11,1,22,,,33,,,,,1,65,77,142,,,,,8,1277,,,,,,,,1698,4261,7411,1,,,22,72,95,1,356,11376,10408,21784,,,,,,,,1,6,10,,16,1,52,1235,130,1365,199,104,303,236,32129,360500
1985,1986,Anchorage,,,1,,,,,,,,,19,2,4,,21,,25,21,46,2,,11,8,,49,,19,18,1,4,15,3,2,1,,,,1,,,,,1,,,,,,,,,,,,,2,271,,,,,1,5,,923,2846,4046,,,,5,10,15,1,250,11639,24019,35658,,,,,,,,,,,,,1,216,741,101,842,83,120,203,104,26647,300000
1985,1986,Arlington,,,,,1,,,,,1,2,84,5,5,,109,,94,109,203,12,6,61,20,,279,,58,58,,6,,2,2,,,,,38,,,,,38,2,435,1899,2334,3,1715,1331,3046,2,,503,503,26,8742,3,239,303,542,,,,4763,18083,38051,17,1,2,104,553,677,,,,,,,,,,,,,,,,,,,,4461,428,4889,755,806,1561,869,205148,2000000
1985,1986,Atlanta,,,1,,,,,,,1,1,84,10,7,,111,1,101,112,213,13,,19,27,1,158,3,63,63,,16,12,27,7,20,,,,9,1,,,,9,,,,,1,390,484,874,1,536,381,917,13,4427,,,,,1,46,,3929,13381,23583,12,,2,31,311,356,2,497,22922,78484,101406,1,48,230,,230,,,,,,,,1,15,2694,686,3380,440,873,1313,524,132482,4450067
1985,1986,Austin,,,,,1,,,,1,,,87,11,5,,59,,103,59,162,12,2,36,35,,131,,86,85,1,31,2,44,12,32,,,,35,,,,,35,1,1319,1183,2502,1,91,94,185,1,50,54,104,15,3401,1,17,15,32,,,,4202,13751,24212,5,,15,51,351,422,6,1060,49032,69744,118776,1,75,1110,,1110,,,,,,,,2,475,4074,436,4510,621,417,1038,1193,138640,1335464
1985,1986,Baker,,,,,1,,,,,,,32,6,4,2,11,,42,11,53,3,1,1,2,,61,2,32,32,,26,10,14,8,6,,,,7,,,,,7,,,,,1,54,57,111,,,,,4,736,,,,,,,,909,2346,4109,,,,12,32,44,4,409,35016,107835,142851,,,,,,,,,,,,,1,93,686,150,836,117,134,251,281,29995,354100
1985,1986,Baltimore,,,1,,3,1,,,,,,285,12,48,,373,31,345,404,749,4,6,130,104,10,1678,45,153,153,,9,3,2,,2,2,20,282,,2,4,4,,24,3,3231,5014,8245,12,2002,1939,3941,12,3784,3599,7383,91,24759,7,417,622,1039,,,,4130,26206,75727,97,7,63,508,2234,2909,6,2007,71895,474390,546285,,,,,,1,118,3,153,62,100,315,4,681,8246,1118,9364,3688,1653,5341,5050,436447,2508947
1985,1986,Baton Rouge,,,,,1,,,,,,,73,2,17,,54,,92,54,146,6,3,21,17,,140,,72,71,1,23,6,8,5,3,,,,27,,1,,,28,,,,,8,1595,1434,3029,2,675,560,1235,28,15195,,,,,,,,3705,9762,32954,,,7,63,744,814,1,563,97220,,97220,,,,,,1,120,,,,,,1,60,3702,439,4141,902,483,1385,1301,192345,745000
1985,1986,Beaumont,,,,,1,,,,,,,47,2,9,,29,,58,29,87,,3,20,1,,125,,44,44,,13,2,6,3,3,,,,12,,,,,12,,,,,1,239,274,513,,,,,9,1821,,,,,,,,2386,8170,12902,,,,21,135,156,2,747,32729,108544,141273,,,,,,,,,,,,,,,1798,331,2129,322,323,645,683,88335,676746
1985,1986,Belleville,,,,,1,,,,2,,,128,4,24,,38,6,156,44,200,10,,31,16,3,302,20,130,110,20,,,1,,1,,,,21,,,,,21,1,952,84,1036,4,1062,1054,2116,,,,,52,8528,,,,,2,77,,1215,4275,17268,8,,5,60,463,536,7,1480,50564,179876,230440,,,,,,,,,,,,,6,613,2039,824,2863,558,568,1126,1480,122419,861986
1985,1986,Biloxi,,,,,1,,,,,,,51,5,8,,30,,64,30,94,8,1,6,46,,81,,44,44,,13,3,1,,1,,,,10,1,4,,,14,,,,,4,509,786,1295,1,541,,541,15,2806,1,12,,12,,,,2586,3417,10671,1,,16,43,241,301,,,,,,,,,,,,,,,,,,2,441,1188,304,1492,248,266,514,513,54375,637250
1985,1986,Birmingham,,,,,1,,,,1,1,2,54,5,11,2,57,2,70,59,129,1,,13,13,,178,,61,61,,15,1,11,1,10,,,,7,,,,,7,,,,,2,1078,1208,2286,1,31,30,61,22,4707,1,76,111,187,,,,1318,2894,11460,6,,,64,293,363,2,557,21652,59297,80949,,,,,,2,218,,,,7,7,,,935,359,1294,151,297,448,393,56482,2499835
1985,1986,Bismarck,,,,,1,,,,1,1,2,62,2,12,,39,5,76,44,120,5,,22,25,1,233,7,70,68,2,55,,45,14,31,,,,14,6,3,14,,17,1,383,810,1193,,666,720,1386,,,,,18,2502,,,,,1,52,,2433,6442,14025,8,,,47,216,271,6,864,30397,73826,104223,,,,,,,,,,,,,2,155,1892,160,2052,436,266,702,611,78716,269310
1985,1986,Boise,,,,,1,,,,1,,,74,5,18,2,23,,97,23,120,5,1,27,3,,115,7,73,66,7,33,8,14,4,10,,,,9,,,,,9,1,11,37,48,1,234,190,424,,,,,13,1800,,,,,,,,2960,8432,13673,3,,,12,108,123,5,644,28545,169653,198198,,,,,,1,10,,,,,,1,40,2061,410,2471,317,351,668,654,70724,1049894
1985,1986,Boston,1,,,1,,5,,,,,1,869,108,137,16,1120,218,1114,1338,2452,26,10,132,270,18,4047,190,408,406,2,9,102,68,68,,2,103,122,3,15,215,,,321,4,7332,11673,19005,27,3998,7890,11888,22,8321,3620,11941,136,41247,25,1751,2084,3835,,,,19953,162948,271138,85,3,96,961,3281,4426,8,2140,93455,657479,750934,4,586,10070,38862,48932,2,615,5,306,227,292,825,9,1791,31398,790,32188,10544,2840,13384,19788,1918715,3634846
1985,1986,Bridgeport,,,,,1,,,,,,,264,37,20,4,80,5,321,85,406,14,1,43,5,,810,,91,91,,2,17,78,24,54,,,,22,,,,,22,2,3661,6275,9936,7,2059,2405,4464,3,1370,366,1736,46,11458,2,21,343,364,,,,4035,23143,55158,43,1,5,164,788,1001,2,611,21461,159056,180517,,,,,,2,299,,,,28,28,8,844,5020,165,5185,1738,526,2264,3299,333213,832360
1985,1986,Brooklyn,,,,,1,2,,,2,,,607,92,173,4,331,136,872,467,1339,72,3,125,270,31,2050,89,221,220,1,,,7,3,4,2,215,43,39,2,21,,,275,2,9792,10329,20121,2,755,587,1342,20,10603,13180,23783,170,74157,3,273,273,546,,,,2015,54655,176894,37,,120,857,3408,4422,5,1251,42224,242643,284867,,,,,,1,97,4,86,86,479,651,4,1032,24629,770,25399,6954,765,7719,15835,1414889,4165100
1985,1986,Brownsville,,,,,1,,,,,,,38,3,10,,74,3,51,77,128,2,1,48,9,1,162,,61,61,,49,9,5,2,3,,,,12,,,,,12,,,,,,,,,2,366,447,813,7,1754,1,74,100,174,,,,5601,26673,35027,,,6,26,122,154,,,,,,3,,,32174,32174,,,,,,,,2,180,7002,122,7124,1146,86,1232,1850,427044,537607
1985,1986,Buffalo,,,,,1,3,,,,,,461,24,83,1,275,61,568,336,904,3,3,62,64,,2088,152,295,268,27,,,202,43,159,,,,31,3,1,,,32,6,5484,6792,12276,9,2049,1461,3510,11,2309,3010,5319,116,36724,7,568,594,1162,,,,17552,32552,99127,114,8,15,701,1803,3641,9,2132,76906,582785,659691,,,,,,4,720,,,,89,89,12,905,9169,465,9664,2822,1157,3979,6444,808119,1628300
1985,1986,Burlington,,,,,1,,,,1,,,120,9,28,1,58,16,157,74,231,1,2,28,19,,352,5,100,98,2,43,12,17,4,13,,,,17,,,,,17,3,876,1864,2740,2,442,446,888,1,63,101,164,9,1799,2,301,290,591,1,8,,4279,12872,23358,2,,6,83,177,268,1,100,3468,33146,36614,,,,,,,,,,,,,3,131,2450,187,2637,749,388,1137,1580,154512,535000
1985,1986,Camden,,,,,1,1,,,,,,413,28,52,3,55,5,493,60,553,3,,65,22,1,523,8,127,127,,8,2,14,11,3,,,,23,,3,,,26,,,,,8,3006,3582,6588,3,617,459,1076,64,16344,,,,,,,,1360,22542,47936,31,,,226,922,1179,1,384,14000,150000,164000,,,,,,1,121,,,,,,4,640,7343,302,7645,1178,1282,2460,3269,366538,1165800
1985,1986,Charleston,,,,,1,,,,,1,2,63,5,9,,57,,77,57,134,7,3,26,28,,250,3,83,77,6,27,7,58,6,52,,,,10,2,3,,,13,,,,,3,628,677,1305,1,54,59,113,28,5092,,,,,,,,2326,7326,16175,4,,1,71,349,425,5,990,14133,127531,141664,,,,,,,,1,8,7,4,19,2,63,1691,367,2058,209,446,655,571,72449,3347000
1985,1986,Charlotte,,,,,1,,,,1,1,1,53,4,16,,61,,73,61,134,6,,20,9,,208,4,63,63,,22,7,3,3,,,,,15,,,,,15,2,553,744,1297,2,480,468,948,,,,,14,3527,1,64,72,136,,,,2109,5843,13875,20,,2,50,343,415,2,654,23220,54055,77275,1,51,51,,51,1,80,,,,,,1,145,1359,353,1712,170,392,562,390,63212,3101207
1985,1986,Cheyenne,,,,,1,,,,1,,,44,2,10,1,7,,56,7,63,2,1,2,4,,69,,39,37,2,30,2,2,2,,,,,10,1,1,,,11,,,,,1,48,58,106,,,,,6,1300,,,,,,,,1514,7030,9961,1,1,,14,59,75,1,121,3750,18455,22205,,,,,,,,1,18,9,,27,1,67,1375,215,1590,217,178,395,476,63000,461000
1985,1986,Chicago,1,,,,,6,,,,,,886,53,262,3,1040,119,1201,1159,2360,85,21,485,432,14,5339,97,446,436,10,8,,348,145,203,4,1246,82,5,1,174,,,1425,13,15978,20004,35982,12,2956,2603,5559,46,22473,21681,44154,355,124386,3,229,271,500,6,752,,27852,114838,355448,165,9,142,660,8312,9288,24,8260,289746,1394171,1683917,,,,,,4,829,2,221,56,393,670,21,3161,35573,3393,38966,10403,3018,13421,19644,2362162,5707300
1985,1986,Chicago (Byzantine),,,,,1,,,,,,,23,1,7,,12,,,,43,7,,6,,,14,,34,24,10,5,,5,,5,,,,5,,,,,5,,,,,1,45,48,93,,,,,3,483,,,,,,,,80,546,1207,6,4,,10,40,60,,,,,,,,,,,,,,,,,,,,304,7,311,100,14,114,263,20000,
1985,1986,Cincinnati,,,1,1,,1,,,,,,339,19,82,2,323,57,440,380,820,13,4,85,223,18,1974,50,256,237,19,,,150,37,113,1,25,29,12,3,18,,,55,4,7845,8166,16011,17,6905,6807,13712,4,1398,1055,2453,116,36637,4,769,784,1553,,,,7193,29465,107079,83,,69,398,3427,3977,10,3666,130597,863910,994507,,,,,,1,227,4,528,358,70,956,8,1147,9080,1925,11005,2338,1658,3996,4582,532790,2716191
1985,1986,Cleveland,,,,,1,4,,,,1,1,488,25,111,6,211,45,624,256,880,15,7,80,104,23,2230,30,245,245,,7,14,141,64,77,2,115,30,,,3,,,118,3,1755,4107,5862,10,3791,3782,7573,16,5444,5944,11388,162,56317,4,647,780,1427,2,169,,15950,23912,122716,101,5,61,965,2928,4060,6,1982,109585,466375,575960,2,90,348,,348,4,628,,,,,,8,1710,12456,2127,14583,4576,2352,6928,8323,865635,2816000
1985,1986,Colorado Springs,,,,,1,,,,,,,25,,4,,17,,29,17,46,3,,12,4,,230,,25,25,,10,,,,,,,,3,,,,,3,,,,,1,160,165,325,,,,,5,1171,,,,,,,,1261,4182,6942,,,,13,70,83,3,696,24478,174877,199355,,,,,,,,,,,,,,,1203,92,1295,215,179,394,954,65000,391266
1985,1986,Columbus,,,,,1,,,,2,,,160,21,43,,59,,224,59,283,28,3,49,5,2,547,9,108,108,,11,,,,,,,,10,5,,10,,10,1,660,587,1247,13,2927,2665,5592,1,39,,39,51,13450,1,80,81,161,1,83,,1971,9520,32073,14,,,89,922,1025,6,1936,68828,227009,295837,,,,,,1,271,,,,25,25,11,1030,3908,975,4883,664,910,1574,1541,194392,1940333
1985,1986,Corpus Christi,,,,,1,,,,2,1,,71,4,14,1,78,,89,78,167,13,2,32,20,,326,2,80,80,,44,14,23,9,14,1,22,3,28,,,,,50,,,,,2,131,195,326,1,157,230,387,23,4429,4,613,717,1330,,,,738,5784,13044,2,,1,79,234,316,3,848,37222,86695,123917,,,,,,,,1,13,39,,52,2,135,7221,190,7411,1135,176,1311,1932,320479,596393
1985,1986,Covington,,,,,1,1,,,1,,,148,12,28,3,26,5,188,31,219,2,2,16,9,2,775,7,87,87,,25,,36,16,20,1,8,27,14,,1,,,23,1,500,700,1200,9,1734,1076,2810,3,33,781,814,46,10034,4,351,351,702,2,64,,1329,3585,20561,15,,4,160,597,776,7,1331,54270,246657,300927,2,,,24193,24193,,,,,,,,5,400,2249,462,2711,530,477,1007,1074,106380,1591000
1985,1986,Crookston,,,,,1,,,,,,,35,5,13,1,17,1,53,18,71,4,2,1,3,,292,4,44,41,3,34,1,16,6,10,,,,8,,,,,8,,,,,1,61,71,132,,,,,10,1543,1,66,69,135,,,,2783,4854,9455,2,,1,25,96,124,5,349,8999,49290,58289,,,,,,,,,,,,,2,250,1011,101,1112,174,229,403,373,43083,239045
1985,1986,Dallas,,,,,1,,,,1,1,,94,11,14,2,88,4,119,92,211,17,1,104,3,1,274,12,70,68,2,16,8,37,9,28,1,18,62,2,,,,,20,1,1559,994,2553,5,637,826,1463,4,867,743,1610,33,9452,2,212,23,235,1,48,,4743,21865,41989,34,2,1,89,829,955,3,1170,65692,93800,159492,,,,,,,,1,24,24,,48,1,42,6265,913,7178,837,902,1739,1151,208982,3104700
1985,1986,Davenport,,,,,1,,,,,,,122,12,45,1,16,6,179,22,201,1,2,28,14,1,374,13,116,87,29,,,25,11,14,1,5,6,8,,,,,13,3,1838,2372,4210,7,751,731,1482,,,,,38,4969,,,,,,,,2726,9661,23061,18,,2,70,420,510,5,825,26871,147196,174067,,,,,,,,,,,,,4,343,2501,576,3077,536,594,1130,1068,108351,733591
1985,1986,Denver,,,1,1,,,,,2,1,,135,6,20,1,179,16,161,195,356,8,2,85,29,,592,11,112,111,1,33,,2,,2,1,16,16,31,5,36,5,,83,1,2605,2506,5111,2,277,376,653,4,1274,704,1978,37,8834,1,217,263,480,1,65,,6662,19642,43508,55,4,14,97,681,851,4,1649,60204,424594,484798,,,,,,,,,,,,,3,300,8786,824,9610,1480,1091,2571,2680,330270,2036806
1985,1986,Des Moines,,,,,1,,,,,,,87,4,31,2,4,5,122,9,131,4,1,28,,,197,2,85,61,24,4,,6,5,1,,,,11,,,,,11,,,,,2,916,907,1823,,,,,19,4043,,,,,,,,2163,7917,15957,10,,,46,327,383,3,835,32168,128123,160291,,,,,,1,103,,,,,,1,220,1782,386,2168,367,394,761,731,86353,667726
1985,1986,Detroit,,1,1,,,5,,,1,,,447,19,122,1,370,52,588,422,1010,27,,149,132,25,2500,46,331,330,1,13,,,,,3,69,55,8,6,17,,,94,5,4928,9096,14024,28,7764,6983,14747,14,4016,4358,8374,154,52225,4,480,331,811,2,233,,9132,78980,178620,61,11,33,664,3343,4112,10,4259,151350,877389,1028739,5,192,927,1000,1927,1,60,5,203,200,72,475,15,1205,17403,1733,19136,5155,2342,7497,9584,1466106,4215108
1985,1986,Dodge City,,,,,1,,,,,,,46,4,9,,8,4,59,12,71,1,,7,,1,170,7,59,42,17,2,,10,7,3,,,,10,,6,,,16,1,255,369,624,,,,,,,,,12,1662,,,,,,,,1644,3548,7494,1,,,36,107,144,4,456,12508,99750,112258,,,,,,,,,,,,,,,968,120,1088,160,165,325,268,39121,224680
1985,1986,Dubuque,,,1,2,,1,,,,1,4,274,12,57,2,42,20,343,62,405,1,6,42,23,5,1343,,232,184,48,,,40,28,12,1,10,5,26,2,61,,,97,3,1805,2371,4176,11,2061,2147,4208,,,,,58,13988,,,,,,,,7813,17105,47387,18,,,155,764,937,6,1918,53456,288073,341529,3,321,321,,321,,,,,,3,3,2,326,4434,617,5051,1334,761,2095,1932,218734,995648
1985,1986,Duluth,,,,,1,,,,,,,68,6,19,,26,,93,26,119,,,12,,,222,,100,73,27,,7,7,,7,,,,18,,,,,18,1,362,1087,1449,,,,,,,,,14,1582,,,,,,,,4650,7443,15142,,,,13,76,89,2,542,20346,47835,68181,,,,,,1,143,,,,,,2,320,1553,134,1687,356,377,733,979,87222,425987
1985,1986,El Paso,,,,1,1,,,,1,,,62,4,34,,47,,100,47,147,2,2,32,9,,264,8,51,50,1,23,1,11,3,8,1,31,3,8,2,76,,,115,,,,,1,430,,430,2,,637,637,10,2738,4,253,385,638,,,,2548,13280,20386,12,,2,27,235,276,1,355,6698,19404,26102,,,,,,,,,,,,,1,24,7052,84,7136,1171,98,1269,1293,187530,640578
1985,1986,Erie,,,,,1,,,,1,,,237,12,36,1,30,8,285,38,323,,7,1,4,3,705,9,128,124,4,31,17,49,6,43,1,22,2,21,1,36,,,79,3,2937,3508,6445,6,1559,622,2181,3,267,1256,1523,46,13063,1,118,129,247,2,214,,7673,13807,45232,49,,2,165,1001,1217,1,573,24287,435144,459431,,,,,,,,,,,,,4,668,3788,405,4193,978,732,1710,2415,214558,902529
1985,1986,Evansville,,,,,1,,,,,,,92,5,26,,13,6,123,19,142,3,1,21,2,3,401,20,67,63,4,6,,12,11,1,,,,14,,,,,14,,,,,4,793,848,1641,1,,177,177,29,4806,,,,,,,,1938,5812,14388,4,,2,75,329,410,3,720,26056,185096,211152,,,,,,,,1,122,122,17,261,4,347,1852,346,2198,417,385,802,775,87390,466821
1985,1986,Fairbanks,,,,,1,,,,1,,,6,4,,,28,,10,28,38,,,29,5,,42,,34,22,12,16,20,4,,4,,,,2,,,,,2,,,,,2,121,120,241,,,,,1,370,,,,,,,,455,1585,2653,2,,,7,49,58,,,,,,,,,,,,,,,,,,,,465,32,497,94,48,142,97,15604,125000
1985,1986,Fall River,,,,,1,,,,2,,,168,11,26,1,155,40,205,195,400,2,5,23,28,7,681,20,113,112,1,13,3,71,9,62,,,,21,2,8,,,29,1,1300,1500,2800,4,1600,1800,3400,,,,,21,6030,3,340,340,680,1,88,,6600,34100,53727,32,,8,157,490,687,1,182,6339,28025,34364,1,35,126,,126,,,1,65,15,,80,5,819,5497,128,5625,1892,477,2369,3839,340000,530000
1985,1986,Fargo,,,,,1,,,,,,,92,16,21,3,26,,129,26,155,,1,26,5,,300,4,115,82,33,46,,36,9,27,1,36,5,18,,,,,54,1,76,89,165,1,242,232,474,,,,,15,2570,,,,,,,,4538,10308,18109,9,,1,21,214,245,12,707,26587,61311,8788,,,,,,,,,,,,,3,164,2157,239,2396,408,428,836,903,99818,383323
1985,1986,Fort Wayne-South Bend,,,,,1,1,,,2,,,96,5,30,,186,12,131,198,329,,3,36,115,6,948,7,89,84,5,,,1,1,,,,,18,1,96,,,114,5,6823,6823,13646,4,1491,1491,2982,,,,,43,11247,,,,,,,,3080,7487,38556,82,,20,112,1543,1757,4,917,30205,224835,255040,1,23,536,22344,22880,1,62,,,,4,4,2,338,2696,412,3108,714,636,1350,1412,141953,1044602
1985,1986,Fort Worth,,,,,1,,,,1,,,52,7,3,,57,3,62,60,122,15,,27,12,,141,,81,56,25,1,12,37,9,28,,,,12,,,,,12,,,,,4,696,764,1460,,,,,14,3842,1,120,122,242,,,,4268,11324,21148,6,,7,24,261,298,2,678,21372,89954,111326,,,,,,1,187,1,25,25,57,107,3,699,3915,488,4403,516,483,999,734,122764,1789600
1985,1986,Fresno,,,,,1,,,,1,,,88,8,24,,47,2,120,49,169,12,,2,11,,209,2,86,81,5,34,23,33,4,29,1,7,,21,6,,21,,28,,,,,2,606,684,1290,,,,,24,5622,1,79,85,164,,,,4903,18102,30109,,,9,58,281,348,4,777,104305,177624,281929,,,,,,,,1,20,,,20,1,118,11511,463,11974,1451,461,1912,2395,295249,1463878
1985,1986,Gallup,,,,,1,,,,,,,40,10,4,1,41,,54,41,95,5,1,9,21,,184,,58,57,1,42,46,4,2,2,1,7,,13,,,,,20,,,,,,,,,2,62,113,175,,,1,130,144,274,,,,1179,3850,6782,1,,1,32,42,76,,,,,,,,,,,,,1,,6,,6,1,8,1182,128,1310,122,59,181,428,42047,355340
1985,1986,Galveston-Houston,,,,,1,1,,,1,,,189,11,25,1,221,4,225,225,450,37,5,166,20,1,613,18,147,147,,15,6,71,7,64,1,55,46,5,3,17,,,77,1,803,1008,1811,1,138,103,241,8,1827,1742,3569,48,11438,2,76,412,488,,,,12211,43166,73001,48,4,4,111,981,1148,4,1152,37858,98235,136093,9,,,106593,106593,1,112,,,,19,19,5,493,14763,1398,16161,2111,1433,3544,2623,611477,3486231
1985,1986,Gary,,,,,1,,,,1,,,112,10,21,2,60,7,143,67,210,,1,40,29,1,247,7,83,82,1,2,,73,28,45,,,,19,,,,,19,1,409,664,1073,3,1175,1472,2647,1,85,49,134,39,10065,1,115,,115,,,,1386,10388,25827,24,3,19,112,609,767,7,2243,63152,433072,496224,,,,,,,,3,108,42,,150,3,438,2824,404,3228,599,329,928,1745,187037,685237
1985,1986,Gaylord,,,,,1,,,,,,,53,2,12,1,18,,67,18,85,10,,4,4,,128,,85,57,28,,,10,2,8,,,,24,,,,,24,,,,,5,381,398,779,,,,,20,3528,,,,,,,,1986,5153,11470,3,,,27,206,236,3,330,12900,80730,93630,,,,,,,,,,,98,98,1,35,1439,210,1649,404,314,718,900,90383,391843
1985,1986,Grand Island,,,,,1,,,,1,,,68,6,15,1,2,,89,2,91,1,,,,,130,,51,51,,38,5,34,5,29,,,,15,,,,,15,,,,,7,535,515,1050,,,,,8,943,,,,,,,,2434,5736,10178,10,1,,22,138,171,2,325,15486,50026,65512,,,,,,,,,,,,,2,136,1237,249,1486,236,243,479,512,56654,306000
1985,1986,Grand Rapids,,,,,1,1,,,,,,110,3,34,,35,9,147,44,191,,,14,4,5,464,16,90,84,6,13,,29,11,18,1,13,,16,,,,,29,1,1169,1555,2724,4,1269,1321,2590,,,,,45,8960,1,142,181,323,,,,3267,12749,30642,,,,71,474,545,2,605,24229,292885,317114,,,,,,1,75,2,50,20,240,310,2,254,3298,561,3859,863,567,1430,1311,152169,906483
1985,1986,Great Falls-Billings,,,,,1,,,,1,,,59,9,23,,26,3,91,29,120,4,,3,2,,170,2,74,59,15,59,5,12,4,8,,,,7,,,,,7,1,513,565,1078,3,241,259,500,,,,,17,2244,,,,,1,40,,2784,6203,12856,3,,1,31,247,282,3,576,24327,87575,111902,,,,,,,145,,,,,,,,1611,287,1898,262,320,582,772,66092,351858
1985,1986,Green Bay,,,,,1,1,,,2,1,2,208,19,51,6,159,18,278,177,455,5,4,59,58,4,858,12,211,179,32,6,6,38,25,13,,,,34,1,18,,,52,2,935,1286,2221,5,885,869,1754,4,794,643,1437,93,17183,,,,,2,35,,15373,18492,56547,34,,5,226,1137,1402,7,1711,49907,286208,336115,,,,,,,,,,,32,32,7,534,5158,312,5470,1763,676,2439,2561,355546,796204
1985,1986,Greensburg,,,,,1,,,,,1,2,150,15,23,1,116,9,188,125,313,,3,,8,2,427,6,115,110,5,27,,59,7,52,,,,16,1,22,5,,38,2,768,1300,2068,2,676,663,1339,,,,,47,8067,3,146,158,304,,,,3631,14326,29773,37,,7,169,492,705,1,208,7063,77753,84816,,,,,,,,,,,20,20,2,203,2852,303,3155,897,636,1533,2293,215743,718511
1985,1986,Harrisburg,,,,,1,,,,,,,153,6,20,,71,10,179,81,260,8,2,64,12,1,798,15,110,108,2,12,35,99,15,84,,,,24,,,,,24,,,,,7,2044,2206,4250,3,101,123,224,50,11638,,48,48,96,,,,2965,13964,33161,14,,,246,639,899,2,700,26496,406967,433463,,,,,,1,113,,,,,,1,635,3904,836,4740,706,810,1516,1872,208726,1800000
1985,1986,Hartford,,,1,,,2,,,,,,475,20,45,2,81,30,540,111,651,32,6,246,60,,1384,,223,223,,3,4,1,1,,3,116,3,35,2,95,,,246,3,102,1826,1928,6,2789,3379,6168,9,2192,2791,4983,94,21797,5,221,324,545,,,,11169,23204,70040,15,,62,612,1251,1940,3,1530,56914,170391,227305,1,16,70,,70,2,396,1,23,16,174,213,5,696,12161,559,12720,4138,1065,5203,8234,817794,1769380
