Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPrDio,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,WoResPstr:Vcnt,WoResPstr:NewPrshCreat,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,ConfratChristDoct:HSStdnts,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,TotBapt,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1990,1991,Chicago,1,,,,,6,,,,828,40,5,258,1131,973,2104,88,7,11,13,28,568,428,4476,389,329,60,2,,,,,1,8,9,,6,33,,,,21,2379446,2,13537,20,3816,4,656,4,1233,55,244121,22,47723,5,488,18,49159,3,489,138,3,1,132,624,9,37991,10,4785,40,32443,323,111700,2,335,13,1201,5820,89911,284810,105,1,94,678,6954,37690,2079,1732,41501,29040,18725,10265,3059,13234,20026,2350000,5621485
1990,1991,Cincinnati,,,1,1,,1,,,,279,18,3,105,405,308,713,11,6,2,4,4,114,198,1570,246,180,39,27,,,,,,,2,,,1,,,,11,1756203,,,8,1400,4,760,,,,,5,49000,,,5,34000,1,21,26,5,,,26,4,21035,18,10625,4,2513,114,37580,2,1137,,,5733,28782,107431,45,,20,233,2995,8938,1223,709,10870,8747,6508,2043,1497,3540,4470,531500,2804900
1990,1991,Cleveland,,,,,1,4,,1,1,427,26,5,122,580,188,768,18,1,1,9,8,116,97,1980,241,217,19,3,,,,,2,7,108,,,2,,,,6,491369,,,10,1721,1,590,2,194,2,154,13,107290,1,131,12,337196,2,70,3,,,7,77,3,6980,9,5346,15,9069,140,48230,6,1930,2,139,4237,39433,115441,75,1,40,521,3240,10775,1974,780,13529,12077,8270,3503,1947,5450,8576,808601,2754734
1990,1991,Colorado Springs,,,,,1,,,,,28,3,,6,37,22,59,,2,,,,14,4,185,28,20,6,,1,,,,1,8,,,,,,,,3,131250,,,2,100,,,,,,,,,,,,,,,,2,,,2,,,,,,,5,922,,,1,65,1452,4456,6897,,,4,4,62,1187,105,98,1390,978,421,205,200,405,356,65243,515551
1990,1991,Columbus,,,,,1,,2,,,146,10,,56,212,56,268,21,1,,3,48,,16,518,111,101,10,1,,,,1,,10,,,,,,,,5,589927,1,69694,13,1022,4,5863,,,1,142,7,35000,2,190,,,,,,33,,,33,1,1365,12,4540,,,49,12605,1,75,1,100,1537,11706,32061,11,,1,53,832,3873,359,437,4669,3372,3450,712,854,1566,1573,207207,2022800
1990,1991,Corpus Christi,,,,,1,,,1,,85,4,1,12,102,66,168,2,4,2,8,5,47,23,267,85,51,18,12,3,1,,,,48,8,,2,,,,,3,153451,,,2,149,1,62,,,,,11,18903,,,,,,,,19,,,19,,,4,885,2,536,21,3807,3,1074,,,7164,19298,32783,5,,,71,349,6198,201,309,6708,5264,3164,1117,179,1296,2639,331000,658350
1990,1991,Covington,,,,,1,,1,,,93,12,,26,131,2,133,,1,,,,9,6,525,51,44,,6,,,1,,,6,,,,,,,,2,93742,,,4,529,1,28,1,25,2,703,,,,,1,12932,,,,6,,,6,1,1297,7,1750,2,637,30,7603,2,474,,,394,2861,15022,4,2,3,90,547,1474,143,115,1732,1430,1213,437,247,684,752,76391,398200
1990,1991,Crookston,,,,,1,,,,,35,4,1,9,49,15,64,5,2,,1,1,3,1,228,40,28,9,1,,,2,,,38,5,,,,,,,4,57067,,,2,231,,,,,,,,,,,,,,,,5,,,5,,,1,121,,,8,1162,1,126,,,2948,4600,8962,1,,,14,72,800,21,80,901,861,734,134,193,327,372,39953,236100
1990,1991,Dallas,,,,,1,,2,1,,76,3,1,18,98,82,180,20,1,,,,96,3,195,55,47,,,,,,,,8,6,,,,,,,1,23000,,,1,45,1,120,2,477,1,516,2,18000,,,,,1,16,28,9,,,25,1,2796,3,1223,4,1365,26,7028,2,224,1,50,3122,20504,36337,23,,1,54,645,6556,431,429,7416,5977,1853,947,662,1609,1291,226129,2484375
1990,1991,Davenport,,,,,1,,,,,106,13,,48,167,12,179,7,2,,3,,48,4,334,112,74,6,31,,,,,2,,,,1,4,,,,4,183657,,,5,375,,,,,,,,,,,,,1,3,,15,,,18,2,2637,7,1366,,,41,4867,,,,,3638,10912,23438,11,,,88,704,2108,204,224,2536,2256,1319,416,492,908,1068,108945,733591
1990,1991,Denver,,,1,,,,1,1,1,130,8,2,26,166,156,322,14,7,,10,,112,45,490,112,86,20,6,,,,,,39,,,1,,,,,4,449201,,,1,85,,,,,1,8,1,435000,,,,,1,16,14,16,3,22,54,1,7859,2,580,3,1266,36,9839,1,406,1,70,5476,20665,46215,35,,16,94,956,8504,531,454,9489,5684,3319,1338,945,2283,2409,330000,2358754
1990,1991,Des Moines,,,,,1,,1,,,76,4,3,33,116,3,119,4,2,,,,42,,155,85,57,1,27,,,,,,4,6,,,,,,,3,235246,,,,,,,2,205,,,3,,,,4,888,,,,20,,,20,,,2,1365,,,19,4194,,,2,35,2245,8654,16513,2,,,16,296,1734,,410,2144,1729,1383,325,398,723,703,95180,675500
1990,1991,Detroit,,,1,,,4,1,,,395,26,2,133,556,289,845,30,4,1,5,,156,107,2202,304,274,30,,,,,,,5,7,,1,5,,,,10,1345709,2,2573,20,1525,8,1733,1,315,8,79000,,,,,24,24000,2,47,59,7,4,6,60,4,13192,23,7762,14,7064,139,44483,9,1207,,,6875,74142,154785,34,,22,358,2641,17230,1201,1135,19566,12982,11983,4710,2223,6933,9501,1490000,4238900
1990,1991,Dodge City,,,,,1,,1,,,41,10,,11,62,4,66,2,,,,6,,,141,59,35,4,20,,,,,,,,,,,,,,3,97201,,,,,,,,,,,2,29820,,,,,,,,9,5,,14,1,1071,,,,,12,1433,,,3,154,1504,3835,8011,3,,,18,123,819,45,66,930,669,416,151,143,294,287,40862,207700
1990,1991,Dubuque,,,1,1,,1,,1,4,222,14,,82,318,35,353,1,5,,1,7,57,29,1178,226,160,1,65,,,,,,2,,,,,,,,6,357671,3,370,5,398,,,,,,,,,,,,,1,6,2,10,5,,16,3,4310,8,2792,,,56,13742,,,,,6934,18084,45878,14,,2,103,904,3886,544,,4430,4038,2020,1200,751,1951,2115,221048,923454
1990,1991,Duluth,,,,,1,,,,,65,7,,15,87,21,108,,1,,1,3,14,1,212,99,51,17,31,,,,,,6,,,,1,,,,2,54557,,,2,307,,,,,,,,,,,,,,,,6,,,6,1,1969,,,,,13,1844,,,,,4698,6626,15143,,,,10,91,1481,,158,1639,1274,1007,359,299,658,1330,86311,403100
1990,1991,El Paso,,,,,1,,,,,57,9,,14,80,43,120,6,2,,2,1,28,18,272,51,36,13,,,,1,,,26,,,,,,,,,,1,25682,2,32,,,2,215,1,40,6,38800,,,1,40,1,6,2,10,2,53,69,,,1,486,2,1043,9,2616,3,670,,,4607,12628,22119,1,,8,28,255,6954,71,38,7063,4314,2074,880,86,966,1621,438232,674203
1990,1991,Erie,,,,,1,,1,,,212,11,,47,270,20,290,,4,,7,,1,,663,127,102,9,16,,,,,,28,,,,,,,,1,203179,,,3,605,,,2,134,2,225,,,,,,,1,13,,7,,,20,2,6652,6,1848,2,1848,2,1165,44,11721,1,226,6649,13940,42221,36,,,94,1009,3460,287,222,3969,3605,2667,883,629,1512,2533,201706,875200
1990,1991,Evansville,,,,,1,,1,,,84,4,1,23,112,11,123,,1,,,3,25,2,356,72,59,4,6,2,,1,,,5,10,,,,,,,2,282032,1,59,3,271,,,1,244,,,,,,,1,22000,,,,14,3,,17,,,4,1391,1,175,27,5265,,,1,25,1831,6134,14838,1,,2,40,369,1604,162,140,1906,1350,982,404,312,716,644,83125,472900
1990,1991,Fairbanks,,,,,1,,1,,,6,1,,,7,23,30,,,,,3,34,5,25,41,3,10,12,,2,10,,2,7,,,,,,,,,,,,,,,,,,1,100,1,2000,,,,,,,,,,,,,,1,136,,,1,378,,,,,215,881,1610,1,,,5,33,465,,,465,261,74,51,18,69,78,17200,127000
1990,1991,Fall River,,,,,1,,1,,,163,7,1,26,197,148,345,6,1,2,1,,35,33,448,111,96,15,,,,,,,11,,,,,,,,1,62275,1,93,5,852,1,58,1,30,,,4,2434,,,1,8354,,,,12,1,,12,1,2932,4,2404,,,21,5411,2,273,,,5371,32898,49301,25,,3,103,610,6038,84,97,6219,5148,4401,2012,438,2450,3870,350450,700440
1990,1991,Fargo,,,,,1,,,,,91,8,1,30,130,24,154,,6,,3,,30,2,264,115,68,11,36,,,,,,47,,,,,,,,12,67525,,,3,,,,,,,,,,,,,,1,6,5,18,,,24,1,99,1,268,,,12,2207,,,,,4337,10840,17775,6,,1,14,176,1759,63,113,1935,1864,1449,343,355,698,935,102814,390400
1990,1991,Fort Wayne-South Bend,,,,,1,,3,,,83,4,,32,119,199,318,,1,3,1,,27,140,880,90,65,20,5,,,,,,,1,,,,,,,4,283508,1,20000,4,412,,,1,60,1,20,3,5031,,,,,,,,11,1,41,52,5,13057,4,2436,,,42,10319,,,,,2534,8625,37023,108,,34,76,1918,1811,301,462,2574,2738,2037,637,620,1257,1344,150276,1096876
1990,1991,Fort Worth,,,,,1,,,,,40,6,1,10,57,57,114,17,2,,,,48,8,100,83,33,25,19,4,,2,,,3,,,,,,,,2,134400,,,4,351,2,335,,,,,,,,,,,,,,6,,,6,,,4,1116,,,12,3318,1,215,,,4997,17001,26653,3,,8,26,276,4064,262,446,4772,3112,1498,527,430,957,777,158133,2060351
1990,1991,Fresno,,,,,1,,,,,87,5,,31,123,41,164,10,1,,,,3,8,152,86,71,12,2,1,,,,,39,,,,,,,,4,242425,,,1,138,2,26,,,,,21,,,,,,1,10,,12,,,22,,,1,557,1,657,23,5589,,,,,5397,24281,36503,1,,6,30,243,13384,240,184,13808,7004,2322,1533,492,2025,2811,344416,1899412
1990,1991,Gallup,,,,,1,,1,,,41,16,3,6,66,30,96,4,1,1,4,4,24,11,186,60,36,19,5,,,,,,35,34,,,,,,,,,,,1,42,,,,,2,37,1,69979,,,,,,,,13,,,13,,,1,44,2,178,9,1261,1,249,,,1049,3570,6364,,,,51,69,973,155,45,1173,870,565,102,50,152,368,38163,355340
