Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2000,2001,,San Antonio,,0,1,,,2,1,,,102,11,,38,151,207,41,4,2,1,,284,91,919,144,88,51,4,1,0,,,,0,32,3,0,0,7,37,137,4,158309,3,,8,497,3,131,19,,4,520,8,,,,1,139,1,6,30,5,9,43,54,4,11458,2,775,8,3222,38,11199,4,1745,,,11885,37191,77529,37,2,28,129,1379,13307,538,636,10554,6350,2058,620,2678,5209,679712,1949506
2000,2001,11/6/1978,San Bernardino,,0,,,1,1,,,,71,7,,55,133,111,12,1,2,1,,89,19,154,97,49,29,11,3,,4,1,,,13,,0,0,1,18,130,2,185174,,,,,0,0,,,3,3100,67,68000,1,6500,,,1,10,0,11,0,0,21,,,2,942,,,34,8117,1,343,,,16030,39928,65381,3,,,21,480,12691,2490,2040,13564,6799,2235,305,2540,3706,899416,3212000
2000,2001,7/11/1936,San Diego,,0,,,1,1,,1,1,119,12,1,75,207,98,101,4,,,,95,23,351,98,85,12,1,0,0,,,,0,17,2,0,0,,48,188,1,34798,1,15000,5,632,3,428,2,668,8,11829,15,258599,1,60,3,457,1,11,10,3,0,0,14,1,6858,3,2058,2,1380,43,13526,1,357,1,200,8366,28065,60824,5,,,41,971,9823,1071,790,8186,4060,1607,534,2141,2716,836997,2965528
2000,2001,,San Francisco,,0,1,1,,1,1,,,136,7,2,70,215,185,52,1,2,,,72,45,801,90,76,14,,0,0,,,,0,11,5,0,0,,,,3,516000,,,13,3000,16,15000,5,363,,,8,16500,,,35,788000,1,8,95,6,0,4,14,3,11098,4,3666,10,4538,60,18004,5,1849,,,1733,15572,56474,43,1,18,39,1436,7831,611,527,5312,3245,1397,522,1869,3063,422500,17560000
2000,2001,1/27/1981,San Jose in California,,0,,,1,0,1,,,79,6,,31,116,169,30,2,,,,8,68,401,48,39,8,1,0,0,,,,0,3,1,0,0,5,35,95,2,195438,,,2,143,0,0,1,215,,,,,,,2,185,0,0,0,14,0,0,14,1,7668,2,1828,4,4136,29,10392,,,,,3067,15878,42983,1,,1,26,492,9977,752,493,5720,2879,1306,435,1741,1918,411855,1647419
2000,2001,,Santa Fe,,0,1,1,,0,,2,,71,3,,37,111,92,9,4,,,2,146,86,254,92,65,24,,1,0,2,,,0,217,4,0,0,1,34,175,4,13806,1,6646,3,152,0,0,1,274,4,1402,5,281412,1,16,,,0,0,0,25,0,18,43,1,1774,1,1041,1,758,16,4187,,,,,5694,18729,32226,,,5,25,346,7136,391,675,5891,3443,1253,246,1499,2939,286155,1071238
2000,2001,2/21/1962,Santa Rosa in California,,0,,,,0,2,,,58,5,,20,83,17,13,1,1,,2,38,38,78,42,40,2,1,0,0,,,,0,21,13,0,1,,7,26,5,563975,,,1,53,1,107,2,80,,,2,26237,2,12,,,0,0,0,6,0,0,6,,,3,998,3,1015,12,2850,1,30,,,1053,6709,12662,4,,,8,290,3065,104,189,976,741,654,215,869,989,146024,751312
2000,2001,,Savannah,,,,,1,0,1,,,43,9,,13,63,29,10,1,,3,,31,15,129,51,36,15,,0,0,,,,0,27,,1,2,15,129,22,3,300000,,,,,1,51,,,1,20,20,117875,,,,,0,0,0,21,0,0,21,,,2,495,3,1385,16,4608,,,,,1142,5223,12874,,,3,15,254,1742,251,703,1456,1251,237,266,403,656,76048,3385646
2000,2001,,Scranton,,0,,,1,1,,,,251,19,,77,347,96,7,3,,4,,51,11,760,198,191,7,,0,0,,,,0,85,25,0,0,,64,19,7,916372,3,96832,4,768,5,983,9,438,9,1576,13,198763,1,159,,,1,10,7,16,1,,26,4,11365,9,3455,2,779,50,12044,,,1,19,10835,23123,61646,14,,,94,884,4131,435,395,5573,8225,1304,528,1832,5408,337454,1032536
2000,2001,,Seattle,,0,1,1,,1,,1,1,126,6,,47,179,117,16,2,1,1,,74,13,495,139,104,15,10,0,0,5,5,,0,30,,1,0,,,,8,1500000,11,310000,15,,,,7,675,3,61,24,51608,1,45,,,0,0,0,26,0,0,26,2,7408,3,2358,6,3165,53,15275,3,855,,,5451,34744,69282,,,,,,6784,1268,773,6238,4714,931,827,1758,2914,525040,4526200
2000,2001,6/16/1986,Shreveport,,0,,,1,0,,,,30,2,,11,43,16,2,1,,1,1,6,5,51,32,22,9,1,0,0,,,,0,13,,2,0,,1,18,2,938,3,705884,1,192,0,0,1,80,2,280,21,13400,1,184,2,2864,0,0,0,2,0,0,2,,,2,700,,,8,2046,,,,,681,2091,5520,,,1,8,213,567,74,231,457,597,119,138,257,336,38929,778633
2000,2001,1/15/1902,Sioux City,,0,,,1,0,1,,,109,10,,49,168,,,1,,,,38,,96,124,89,,35,0,0,,,,0,,1,0,0,,9,13,3,405780,,,3,313,0,0,,,1,,4,5874,,,,,0,0,0,13,0,0,13,1,937,8,2413,,,26,5369,,,,,4233,7871,20836,7,,,16,546,1868,107,272,1670,1564,359,333,692,1201,97413,468549
2000,2001,,Sioux Falls,,0,,,1,0,1,1,2,81,3,,42,126,38,12,1,,8,3,25,12,404,151,62,13,54,4,2,1,,3,2,,,0,0,1,33,47,9,485000,,,9,1500,0,0,,,2,145,5,112000,1,15,,,0,0,0,33,0,0,33,2,1912,3,1043,,,22,4640,,,,,6426,9828,23882,2,,1,9,324,1845,95,284,1951,1848,376,348,724,1042,125120,503000
2000,2001,12/17/1913,Spokane,,0,,,1,0,1,,1,50,5,1,33,89,99,5,6,,2,,48,12,299,78,43,4,28,0,0,2,,,0,3,1,0,0,,2,1,7,368925,2,18011,11,1704,0,0,14,993,2,294,4,17022,,,1,715,1,5,0,5,0,0,10,1,4602,1,239,2,1035,16,3032,,,,,532,2074,11524,5,1,4,2,281,1241,323,208,798,329,281,143,424,1802,76691,720569
2000,2001,,Springfield in Illinois,,0,,,1,0,1,,,100,98,1,34,143,62,7,,,,,4,18,690,164,80,14,57,5,0,5,1,,0,,,0,1,2,31,52,8,895689,,,3,400,1,140,1,100,1,67,,,1,93,,,0,0,0,12,1,7,19,2,1484,2,573,5,2158,54,11071,,,,,2573,8673,26551,1,,,22,668,2384,353,505,2679,2805,477,541,1018,1862,154931,1106124
2000,2001,,Springfield in Massachusetts,,0,,,1,0,1,,,142,7,1,39,189,41,3,1,,,,49,9,580,130,116,7,7,1,0,,,,0,15,1,0,0,,41,50,1,198000,10,92602,11,1281,1,0,1,126,1,5600,3,62909,1,1200,,,0,0,0,13,0,0,13,2,1075,4,1637,,,28,7561,1,51,,,8657,23417,42411,1,,,38,413,3836,153,238,3883,2919,1104,307,1411,4264,275899,792195
2000,2001,8/24/1956,Springfield-Cape Girardeau,,0,,,1,0,,1,2,57,2,,16,75,71,4,1,4,1,,10,82,110,65,47,9,6,1,2,2,,,0,19,2,0,0,1,17,25,4,525380,,,2,368,0,0,1,45,,,1,1187,,,1,44583,0,0,0,12,2,30,42,,,3,878,,,23,3793,,,,,1692,3998,10403,1,,1,5,266,724,520,219,1205,1020,189,239,428,590,59038,1187339
2000,2001,,St. Augustine,,0,,,1,0,,,,70,9,,12,91,28,18,,,,,26,2,111,51,47,4,,0,0,,,,0,8,,0,0,,,,1,229596,2,43548,,,0,0,,,,,6,60000,4,21,5,275,0,0,0,23,0,0,23,,,2,2012,,,24,7978,,,1,115,8282,1501,1991,2,,,19,540,2242,415,660,2329,1967,417,353,770,1035,142886,1598247
2000,2001,,St. Cloud,,0,,,1,0,1,1,2,88,1,,48,137,116,2,,,1,1,34,76,646,139,77,13,49,0,0,,,,0,,,0,0,,11,99,4,215011,,,14,1298,2,157,,,,,7,401706,7,51,8,745,0,,0,12,1,1,13,2,4044,1,589,1,292,33,5493,,,,,7722,15717,33870,30,,8,35,803,2382,84,237,2684,2774,712,328,1040,1483,147047,488181
2000,2001,12/4/1982,St. George's in Canton Romanian,,0,,,1,0,1,,,9,2,,4,15,2,,1,,,,,,,15,10,2,4,0,0,,,,0,4,,0,0,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,3,0,0,3,,,,,,,,,,,,,6,10,19,,,,,,19,,16,,,14,3,17,12,5000,
