Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,Pr:D,Pr:R,ExtPrDio,Pr:Tot,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1998,1999,7/20/1971,Gaylord,0,,0,,1,,,0,,47,2,,23,72,16,7,,2,,1,,12,1,59,81,43,12,18,3,,4,1,,,0,0,,,1,15,60,3,210503,1,872,,,2,29,6,273,1,633,19,1381,,,,,,,,9,,,9,,,4,619,,,19,3364,,,,,1541,5192,10725,,,,10,212,1132,182,283,1276,1494,321,207,528,967,82074,458130
1998,1999,4/11/1917,Grand Island,0,,0,,1,,1,0,,47,2,,31,80,1,,,,,,,,,98,43,43,0,,,,,,,,40,0,,,,,,,,2,147322,1,69,,,,,,,,,,,,,,,,2,,,2,,,4,1147,,,7,728,,,,,2719,5534,10130,,,,5,123,1098,91,140,1136,875,192,182,374,516,53967,290429
1998,1999,,Grand Rapids,0,,0,,1,1,1,0,,83,5,,35,123,21,10,,,,,,20,1,296,90,86,3,1,,,,,,,12,2,,,,26,61,2,789320,,,1,155,,,,,2,660,23,25700,,,2,1450,1,2,,12,,,14,1,2483,4,1870,,,38,7297,,,,,2269,14627,28560,,,1,24,766,2976,413,,3196,2419,599,481,1080,1461,153601,1167900
1998,1999,5/18/1904,Great Falls-Billings,0,,0,,1,,,,,33,9,,33,75,14,3,,,,,,3,,78,52,30,11,5,,,4,2,,,68,0,1,3,,18,35,2,24950,1,16000,,,,,7,588,,,3,29050,,,,,,,,3,,,3,1,1190,1,375,1,154,8,1733,4,709,,,2539,4664,11367,4,,,8,258,1001,105,125,1026,1150,156,178,334,805,55117,392900
1998,1999,,Green Bay,0,,0,,1,1,1,1,3,158,8,4,65,235,143,4,,2,,1,6,81,44,672,199,118,30,44,1,,4,2,,,4,17,,2,,71,92,7,510523,,,10,1267,,,2,100,4,662,8,218936,1,7,,,,,,7,1,6,13,2,3150,5,1463,1,786,78,13180,,,,,9773,21336,49701,1,,4,43,863,4653,228,313,4974,3789,1331,535,1866,3298,388150,898050
1998,1999,3/10/1951,Greensburg,0,,0,,1,,,1,,110,12,,33,155,82,,,3,1,2,,,41,286,107,80,10,17,,,,,,,0,0,,,1,17,64,1,75620,,,2,133,,,,,,,7,1172,1,40,3,4,,,,8,1,10,18,2,2362,2,788,,,24,5559,4,253,,,2861,10412,22253,2,,4,34,349,2060,146,335,2566,2786,642,409,1051,2480,187166,679421
1998,1999,,Harrisburg,0,,0,,1,,,0,,126,8,,28,162,38,11,,2,,,,60,,529,89,75,11,3,,,,,,,8,0,,,,,0,2,352560,,,6,860,1,94,1,7,4,177,7,2252,,,,,,,,13,,,13,,,7,3730,1,6,39,11435,4,256,,,2175,20842,38457,1,,,77,793,3477,279,575,4054,3004,499,572,1071,2099,234831,1940954
1998,1999,,Hartford (Archdiocese),0,,1,,0,2,,0,,293,17,1,100,411,133,8,,5,,2,,544,40,1001,220,190,20,10,,,,,,,4,0,,,2,36,97,3,715286,1,96,2,271,,,2,135,1,8,20,24000,8,34,,,1,5,19,24,1,145,174,2,3920,4,1913,7,3079,69,18707,2,349,1,86,11345,55864,95437,4,,5,95,1237,10964,254,371,10355,7416,2767,559,3326,8852,757793,1806705
1998,1999,,Helena,0,,0,,0,,,0,,50,10,1,25,86,11,6,,1,,,,26,1,61,58,42,4,8,,,4,,,,39,14,,,2,25,27,3,181351,,,,,,,2,150,,,,,,,,,1,5,3,6,,,11,1,1200,2,385,,,4,780,,,,,1540,5483,9399,10,,,10,204,729,412,92,1041,542,170,160,330,840,66500,424372
1998,1999,9/10/1941,Honolulu,0,,0,,1,,1,0,,38,12,,19,69,78,17,,1,,1,,26,48,180,66,40,26,2,1,,,,,,34,0,,,2,14,39,2,361523,5,38856,2,31814,,,3,195,1,204,2,31814,1,717,82,5222,,,,1,,,1,1,2114,3,1169,5,2235,23,6613,3,1390,,,2052,7576,23150,,,12,80,603,3288,356,401,2508,1360,566,307,873,1637,236688,1186602
1998,1999,6/5/1977,Houma-Thibodaux,0,,0,,1,,,0,,47,,,28,75,3,,,2,,3,,25,10,31,40,32,1,6,,,3,,,,5,0,,,,,,,,,,,,,,1,96,2,65,4,19914,,,,,,,,10,,,10,,,3,1502,,,10,4829,,,,,2833,7603,16777,,,5,1,357,1854,54,159,1655,1471,429,67,496,1068,130274,202000
1998,1999,12/19/1944,Indianapolis (Archdiocese),0,,1,,0,,,1,2,120,5,1,41,167,113,11,,3,,,,,58,784,138,98,25,6,,,9,,,,13,0,,,3,21,108,2,1159509,,,5,848,,,4,116,3,688,9,57486,,,,,,,,27,1,68,95,2,2613,6,3332,3,1976,62,19581,,,,,3201,14769,45567,,,5,53,1425,4284,864,953,3436,2088,644,716,1360,1995,217886,2201503
1998,1999,6/6/1977,Jackson,0,,0,,1,,,0,,50,6,1,10,67,32,,,,,,,7,12,289,74,38,19,9,,1,5,2,,,28,3,,,4,24,15,1,71235,2,79292,1,225,3,396,2,200,7,1595,5,8480,3,60,3,132,,,,5,,,5,1,21,4,792,,,16,3231,,,,,867,3920,8836,1,,3,20,331,759,205,332,679,588,106,204,310,464,45408,1980025
1998,1999,7/2/1956,Jefferson City,0,,0,,1,,1,0,,87,5,4,18,114,8,15,,2,,1,,56,8,92,95,66,7,16,,3,4,1,,,15,0,,,2,33,19,1,93721,15,172753,2,210,,,27,742,,,1,6146,,,,,1,24,9,6,,,30,,,2,908,,,37,6261,,,,,2758,4656,14613,5,,5,33,381,1377,221,335,1572,1504,362,371,733,805,89730,799266
1998,1999,3/24/1949,Joliet,0,,0,,1,1,,1,2,151,10,1,35,197,106,12,,2,1,1,,140,90,765,120,100,15,5,,,,,,,10,0,1,,2,74,193,3,575317,,,13,2630,,,4,858,1,346,5,40007,1,120,,,,,,23,,,23,3,12019,4,2550,4,3129,56,19740,,,,,6112,50679,94252,26,,31,50,1576,11002,391,678,9663,7173,1805,675,2480,3526,538078,1494978
1998,1999,6/23/1951,Juneau,0,,0,,1,,,0,,4,5,,5,14,4,2,,,,,,5,,6,10,4,4,2,,,,,,,10,0,,,,,1,1,50105,,,1,128,,,1,100,,,1,6470,,,1,8400,,,,2,,,2,,,,,,,1,85,,,,,210,648,945,,,,,7,108,13,15,144,57,15,11,26,15,6043,74285
1998,1999,7/21/1971,Kalamazoo,0,,0,,1,,1,0,,36,1,,18,55,14,10,,,,,,17,7,217,46,31,12,,1,,2,,,,13,1,,,5,11,46,3,502480,,,5,535,,,11,395,2,895,4,31194,,,,,,,,11,,,11,,,3,942,,,22,3944,,,,,1112,6728,12737,,,,9,289,1631,225,331,1574,1461,279,257,536,858,114632,912044
1998,1999,8/9/1952,"Kansas City, KS (Archdiocese)",0,,1,1,0,,1,1,2,78,2,1,16,97,75,,,2,1,4,,,23,810,119,58,18,43,,,,,,,,,,,,17,121,3,327200,4,19245,4,575,,,,,,,10,15300,1,205,,,,,,14,,4,18,3,2420,5,3294,2,322,42,11433,1,30,,,2692,14371,34580,,,,25,943,3833,416,798,3713,3028,685,538,1223,1344,190418,952000
