Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2006,2007,12/12/1924,NC,Raleigh,,,,,1,,1,,,62,2,,30,94,48,142,14,,,2,,42,3,58,77,44,25,1,,,4,1,,,14,7,,,,,,,,,,,,0,0,,,,,10,32662,,,,,,,0,18,0,0,18,,,1,1088,2,55,31,7536,,,,,3341,14673,28711,5,,,14,802,5803,272,972,4033,2130,414,529,943,966,201657,4212199
2006,2007,8/4/1902,SD,Rapid City,,,,,1,,,,,27,2,,11,40,19,59,,1,,,,25,3,50,88,22,4,61,,,1,,,,29,4,,,,9,25,,,,,,,1,6,0,0,2,2500,8,10858,,,2,,0,0,0,6,0,0,6,,,1,260,1,226,1,595,1,347,,,1185,3205,5824,1,,,2,141,508,32,150,504,375,82,66,148,442,26332,227211
2006,2007,3/27/1931,NV,Reno,,,,,1,,1,,,19,,,8,27,11,38,8,1,,,15,24,5,32,28,16,5,2,4,,1,,,,6,,,,3,8,22,1,422265,3,28000,,,0,0,2,213,,,9,370000,,,,,0,0,0,4,0,0,4,,,1,650,,,4,1080,,,,,1450,4556,7740,,,2,1,124,1784,142,166,1891,662,195,71,266,392,126683,666751
2006,2007,,VA,Richmond,,,,,1,,1,,,123,5,,43,171,35,206,,4,2,2,,79,12,179,146,121,9,12,3,,,7,,,6,,,,12,160,465,10,673000,,,18,1900,0,0,2,97,7,11000,,,5,275,7,30150,0,0,0,16,0,0,16,,,9,2025,3,842,27,8747,2,783,,,5888,16812,35113,4,,,15,979,3794,387,384,3669,2160,437,413,850,1659,223595,4923801
2006,2007,,NY,Rochester,,,,,1,,,2,,111,8,,83,202,52,254,30,,,,4,142,28,556,144,85,3,32,4,,10,4,,,6,,,5,,68,322,2,255200,2,1120,4,1500,1,20,1,175,8,600,71,800000,10,90,,,1,0,0,6,0,0,6,,,1,136,6,3306,40,7737,2,416,,,6124,20354,38079,8,,,8,1209,3480,259,512,3671,3365,855,358,1213,3784,339050,1495685
2006,2007,9/23/1908,IL,Rockford,,,,,1,,2,1,2,130,6,1,54,191,44,235,15,9,,6,,128,12,190,104,84,7,12,1,,,,,,1,1,,,,,,3,528319,18,125000,7,2500,0,0,1,48,,,17,15610,,,,,0,0,0,33,0,,33,,,6,3344,2,946,41,11104,,,,,4313,27190,46930,11,,,12,843,6475,156,414,6635,4870,823,352,1175,2172,435505,1501023
2006,2007,4/6/1957,NY,Rockville Centre,,,,,1,3,2,,,232,13,1,121,367,71,438,90,2,,2,3,260,85,1213,134,130,4,,,,,,,,1,,,,8,142,393,5,595268,3,27682,3,1599,3,276,,,8,1408,30,38979,20,201,110,76511,1,28,15,1,0,,29,1,3533,5,5183,6,7607,53,20597,5,1518,1,81,2846,117343,158737,12,,46,38,1873,16526,631,302,19487,18177,3743,785,4528,12534,1396723,3331937
2006,2007,,CA,Sacramento,,,,,1,,1,1,1,114,3,,54,171,79,250,29,4,1,9,6,132,32,180,101,88,10,,3,,,,,,42,3,1,,1,19,97,6,532812,,,1,105,1,16,3,1870,1,29,11,260583,,,,,0,0,0,46,2,,46,1,70,4,1917,4,2844,45,11083,,,,,1961,16118,34039,10,,7,22,664,9256,387,886,6409,5488,1036,253,1289,2538,552147,3431778
2006,2007,2/26/1938,MI,Saginaw,,,,,1,,,,,56,1,,38,95,8,103,5,,,2,1,16,1,112,106,55,5,22,2,1,18,3,,,,,,,1,46,20,1,283161,1,1315,1,158,4,262,4,237,,,1,1505,,,,,0,0,,19,0,0,19,,,3,780,,,23,3232,,,,,1170,7832,13033,1,,,5,261,1483,181,202,1586,1720,353,235,588,1496,129030,723288
2006,2007,,KS,Salina,,,,,1,,1,,,40,2,,21,63,10,73,3,,,,,,1,170,88,36,3,37,,,5,7,,,,,,,,,,,,,,4,339,0,0,,,,,,,,,,,0,0,0,8,0,0,8,,,5,728,,,11,1640,,,,,1785,4276,8437,2,,,2,235,864,60,153,742,688,220,185,405,688,47456,312144
2006,2007,,UT,Salt Lake City,,,,,1,,,1,1,41,2,,14,57,25,82,10,4,,2,,60,10,43,48,34,9,3,1,,,1,,,18,,1,,,4,32,,,,,1,1100,0,0,2,61,,,3,603600,,,,,0,0,0,8,0,0,8,,,3,1795,,,11,3606,,,,,1224,7408,14041,2,,,1,335,4020,325,257,2858,2042,353,128,481,591,225000,2469585
2006,2007,10/16/1961,TX,San Angelo,,,,,1,,,,,22,1,,8,31,17,48,,3,,,,62,,15,49,34,4,9,1,,1,,,,23,,,1,,21,166,,,,,,,0,0,,,,,,,,,,,0,0,0,3,0,0,3,,,,,,,3,806,,,,,4158,7663,12630,,,1,,68,1767,88,125,1966,1197,278,141,419,662,71525,673801
2006,2007,,TX,San Antonio,,,1,1,,1,2,,,96,11,,39,146,177,323,39,1,,1,,319,86,770,139,93,41,4,,,,,,1,34,,,,6,31,180,3,181246,3,,9,443,3,312,20,,5,,10,381237,,,1,130,1,20,56,2,8,30,52,4,12589,4,910,5,2363,33,8827,4,1533,1,160,10552,31243,68229,22,5,14,72,1591,11124,398,644,8922,6270,1765,353,2118,4633,680515,2094485
2006,2007,11/6/1978,CA,San Bernardino,,,,,1,1,,,,85,1,,26,112,118,230,29,2,,,12,101,18,160,95,45,26,11,1,,5,6,,,12,,5,,,10,269,2,161710,1,760,2,168,0,0,,,,,20,70296,,,,,1,10,0,19,0,0,29,,,2,980,1,50,30,7680,1,469,,,7794,29729,46731,3,,,20,429,9232,355,662,10112,3218,1463,168,1631,2454,1183548,3945159
2006,2007,7/11/1936,CA,San Diego,,,,,1,2,,1,1,115,3,,65,183,84,267,74,4,,,12,122,20,296,99,86,9,3,1,,,,,,16,1,1,,,,,2,35806,1,45800,4,532,1,420,1,450,9,14000,30,157500,1,40,4,13436,0,0,0,4,0,0,4,2,6913,3,2662,2,1476,43,12979,2,640,1,180,7165,38598,70617,8,,,37,1130,10062,630,469,8854,4725,1478,437,1915,2595,980777,3099597
2006,2007,,CA,San Francisco,,1,1,1,,1,1,,1,119,7,1,82,209,186,395,67,,6,3,6,90,50,825,90,74,16,,,,,,,,11,21,,,18,32,348,3,465322,22,217312,13,3100,,,5,640,12,5512,8,15314,8,490,35,75000,1,14,74,7,1,8,29,3,11499,4,3710,10,4660,55,17089,8,2071,,,5580,19008,63646,11,2,16,89,1966,6491,278,437,4745,3530,1043,352,1395,2849,419476,1685996
2006,2007,1/27/1981,CA,San Jose in California,,,,,1,,1,,,81,6,1,43,131,207,338,22,2,1,2,3,12,62,353,49,41,8,,,,,,,,2,1,,,2,29,98,2,219093,1,60,1,125,0,0,1,150,,,1,50000,,,,,0,0,0,19,0,0,19,1,8490,2,2023,4,4573,29,9732,2,157,,,3482,14757,43233,10,,1,27,990,8103,410,391,5307,2947,982,264,1246,1757,650000,1788300
2006,2007,,NM,Santa Fe,,,1,1,,,,2,,81,1,1,40,123,70,193,6,,,,,198,74,222,93,65,20,,3,,4,1,,,216,4,,,1,17,68,,,1,4725,1,28,0,0,1,35,3,1984,5,365743,1,16,,,0,0,0,17,5,19,36,1,2569,1,1035,1,814,14,3833,,,,,4818,17387,30492,5,,2,11,409,5692,252,663,4952,3420,1064,194,1258,3103,304455,1376738
2006,2007,2/21/1962,CA,Santa Rosa in California,,,,,1,,1,,,60,3,,19,82,7,89,9,,,,,37,26,45,42,39,,2,,,1,,,,21,8,,,,2,20,5,661081,,,1,50,1,119,,,,,12,216000,,,,,0,0,0,5,0,0,5,,,2,821,4,1084,11,2600,2,90,,,1254,5260,11114,1,,3,7,320,3292,160,165,1439,732,458,153,611,714,162570,881492
2006,2007,,GA,Savannah,,,,,1,,1,,,55,6,,16,77,28,105,14,1,,4,,39,5,98,54,39,14,,,,,,,,25,,4,,3,7,5,2,200000,,,,,1,30,,,,,14,110100,,,,,0,0,0,14,0,0,14,,,2,462,3,1146,16,4444,,,,,744,4964,11774,4,,1,11,455,1822,172,337,1529,1190,229,184,413,647,82249,2800000
2006,2007,,PA,Scranton,,,,,1,1,1,,,215,20,,88,323,63,386,14,2,,2,,65,6,603,183,173,5,5,,,,,,,76,25,,2,6,30,26,6,551863,2,88187,4,790,5,968,9,423,9,1910,13,201974,1,153,,,,,,13,1,,13,4,12589,8,2212,2,868,35,8748,,,1,20,16740,27115,68305,2,,,49,630,3477,573,284,4555,7027,999,366,1365,5183,340390,1091326
2006,2007,,WA,Seattle,,,1,1,,2,,1,1,131,2,,61,194,96,290,32,7,,2,,100,24,462,142,98,13,20,,,1,10,,,28,8,,,,,,8,1380504,16,15556,22,4479,0,0,7,700,4,97,94,64880,8,341,,,0,0,0,30,0,0,30,2,7805,3,2465,6,3544,56,15941,4,902,,,7925,36175,74787,5,1,11,17,1393,6600,1205,599,6014,4027,862,600,1462,2748,572100,4974100
2006,2007,6/16/1986,LA,Shreveport,,,,,,,1,,,25,2,,11,38,12,50,2,,,,,21,8,55,27,17,8,1,1,,,,,,14,2,,,1,1,27,2,1048,3,631119,1,190,0,0,2,85,2,362,20,42189,,,4,1422,0,0,0,4,0,0,4,,,2,642,,,5,1293,,,,,803,1961,4703,,,,5,148,471,53,183,433,443,115,76,191,393,39425,788783
2006,2007,1/15/1902,IA,Sioux City,,,,,1,,1,,,84,10,,50,144,2,146,,,,,,37,,86,122,71,,51,,,,,,,,1,,,,6,39,3,202901,,,3,326,0,0,,,,,5,4377,,,,,0,0,0,18,0,0,18,1,1146,8,2023,,,20,4065,,,,,3055,7463,17770,2,,,8,533,1593,71,224,1399,1484,372,256,628,1132,85691,464400
