Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abbts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,TotPr,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwResPstr:Tot,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,PrshwoResPrTot,Ms,PstrCenter,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,Coll/Univ:AvgEnroll,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnts,HS:D/Prsh/Prvt,"HS:D/Prsh/Prvt,TotEnroll",HS:AvgEnroll,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,ElSch:D/Prsh/Prvt,ElSch:D/Prsh/PrvtTotEnroll,ElSch:AvgEnroll,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Scholastics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Convrt,TotBapt,Mar,Dth,TotCath,TotPop
1997,1998,,Sioux Falls,0,,0,,1,,1,1,2,80,3,,36,119,39,10,158,1,,5,,24,22,449,157,70,17,87,55,2,1,4,,3,65,0,0,4,36,28,9,485000,,,9,1500,,,1,50,2,145,5,112000,1,15,,,,,,29,,,29,2,2350,1175,3,986,,,3,986,328.6666667,23,4196,,,23,4196,182.4347826,,,7882,10811,26254,1,,,12,282,1961,101,319,2164,1949,0,0,724,997,121811,503000
1997,1998,12/17/1913,Spokane,0,,0,,1,,1,0,1,48,1,1,35,85,97,4,182,,2,1,,45,15,338,78,43,4,47,28,,,,,3,31,3,1,,2,6,7,324781,2,16114,11,1619,,,14,911,2,198,4,16113,,,1,684,1,19,5,11,1,18,48,1,4370,4370,1,191,1,950,2,1141,570.5,16,3325,,,16,3325,207.8125,,,1921,4692,15497,18,1,14,5,86,1291,383,121,796,392,0,0,463,1793,79323,713789
1997,1998,,"Springfield, IL",0,,0,,1,,,0,,98,8,1,39,146,65,6,211,3,,2,,2,19,707,166,79,19,98,62,,,6,,,68,0,0,4,30,39,8,901359,,,3,400,1,130,1,12,1,49,,,1,93,,,,,,11,1,10,21,2,1672,836,4,1033,3,1655,7,2688,384,54,12791,,,54,12791,236.8703704,,,3221,10864,31257,4,,1,46,846,2481,322,524,2847,3052,0,0,1118,1757,168967,1106124
1997,1998,,"Springfield, MA",0,,0,,1,,2,0,,153,12,,38,203,52,,255,,,,8,51,10,650,133,109,13,122,10,1,,,,,11,15,1,1,44,52,1,129000,1,140,6,931,1,125,1,102,1,200,2,3720,1,5000,,,,,,11,1,,11,1,1187,1187,4,1798,,,4,1798,449.5,34,7254,,,34,7254,213.3529412,1,1200,6348,25164,42962,,,,47,503,4286,153,233,4176,3038,0,0,1464,4078,291350,800600
1997,1998,8/24/1956,Springfield-Cape Girardeau,0,,0,,1,,,1,2,57,5,,14,76,67,4,143,,2,,,5,83,133,68,51,13,64,4,,,,,,4,21,0,1,9,16,5,278162,,,2,356,,,1,50,,,1,1833,,,1,30912,,,,4,2,26,30,,,,3,815,,,3,815,271.6666667,23,3862,,,23,3862,167.9130435,,,1571,3836,10114,1,,,13,239,694,443,232,1231,956,0,0,400,551,56968,1050206
1997,1998,,St. Augustine,0,,0,,1,,,0,,70,13,,7,90,26,20,116,,,,,23,2,111,50,46,4,50,,,,,,,0,9,0,,,0,1,192700,,,2,702,,,,,,,6,50000,4,21,4,234,,,,21,,,21,,,,2,1867,,,2,1867,933.5,21,7118,,,21,7118,338.952381,1,110,1106,7919,18141,2,,,17,434,2022,333,439,2317,1834,0,0,785,931,124669,1528377
1997,1998,,St. Cloud,0,,0,,1,,1,1,1,99,4,2,38,143,113,2,256,1,,,5,35,71,562,141,87,15,102,39,,,,,,39,0,0,,15,66,4,164957,,,14,1402,1,104,2,28,1,36,8,34412,7,68,7,702,,,,9,1,1,10,2,3803,1901.5,1,579,1,216,2,795,397.5,33,6193,,,33,6193,187.6666667,1,25,8890,16263,36979,24,,5,29,567,2521,81,222,2816,2838,0,0,1130,1436,145702,470105
1997,1998,12/4/1982,St. George's in Canton Romanian,,,,,1,,1,,,8,5,,4,17,1,2,18,,,,,2,,,15,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,10,50,61,,,,,,29,2,5,19,31,,,8,37,5300,
1997,1998,12/3/1983,St. Josaphat in Parma,,,,,1,,,,,33,1,,8,42,1,3,43,,,,,9,10,10,37,,,,,,,,,,,3,,,,,,,,,2,156,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,2,274,,,2,274,137,,,68,194,539,,,,3,27,137,2,,71,,,,92,246,11566,
1997,1998,,St. Louis (Archdiocese),0,1,1,,0,3,2,1,1,374,4,7,91,476,373,6,849,7,3,5,17,209,179,2230,227,202,25,227,,,,,,,0,8,0,,,0,12,1278393,,,17,28602,10,2771,16,1348,14,6182,24,275292,1,58,,,2,31,44,3,5,36,70,2,13902,6951,14,6638,15,8846,29,15484,533.9310345,147,41260,6,2334,153,43594,284.9281046,8,220,511,22374,96155,40,3,17,197,3484,7546,939,726,7938,7239,0,0,4064,4236,573000,2072868
1997,1998,1/10/1966,"St. Maron, Brooklyn",,,0,1,1,,,1,,39,4,,13,56,10,,66,,,1,1,12,,8,33,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,356,1197,1553,,,,,,439,11,40,318,330,,,141,229,29206,
1997,1998,,St. Nicholas Chicago - Ukrainian,,,,,1,,1,1,,18,1,,12,31,13,14,44,1,,,2,13,10,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90,,,1,90,90,2,433,,,2,433,216.5,,,20,150,693,,,,4,50,101,5,,101,117,,,63,160,10186,
