Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,WoResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"Educational Seminaries, Diocesan",Students From this Diocese,Students From Other Diocese,Diocesan Students in Other Seminaries,"Seminaries, Religious","Students, Religious",Diocesan students from this diocese,TotSemnr,College and Universities,Men,Women,Total Students (college and univ),"High Schools, Diocesan and Parish",Boys,Girls,Total Students (dioc hs),"High Schools, Private",Boys (priv hs),Girls (priv hs),Total Students (priv hs),"Elementary Schools, Diocesan and Parish",Total Students (dioc elem),"Elementary Schools, Private",. boys,. girls,Total Students (priv elem),Protective Institutions,Total Students (protective inst),Catechesis/Religious Education: High School Students,Catechesis/Religious Education: Elementary Students,Total Students Under Catholic Instruction,Teachers in the Diocese: Priests,Teachers in the Diocese: Scholastics,Teachers in the Diocese: Brothers,Teachers in the Diocese: Sisters,Teachers in the Diocese: Paid Lay Teachers,Total Teachers in diocese,General Hospital,Bed Capacity,In Patients treated Annually,Out-Patients treated annually,Total Patients,Special Hospital or Sanatoria,. Beds,In-patients treated (annual),out patients treated (annual),total patients (special hosp),Schools for nurses,Student Nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in Foster Homes,Total Dependent Children,Homes for Invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,Total Marriages,Dth,TotCath,TotPop
1980,1981,Stockton,,,,,1,,1,,,41,3,,5,34,,49,34,83,9,,1,8,,92,1,31,31,,14,6,17,2,15,,,,11,,,,11,,,,,2,698,775,1473,,,,,12,3121,,,,,,,430,8158,13193,6,,4,36,156,202,2,351,16583,119857,136440,,,,,,,,,,,,,,,3501,276,3777,569,345,914,1143,119286,646985
1980,1981,Superior,,,,,1,1,,,,84,4,,14,17,1,102,18,120,1,2,,1,1,235,4,87,79,8,54,10,39,4,35,,,,20,,,,20,,,,,,,,,,,,,3791,617,,,,,,,6174,9349,19334,,,,64,144,208,4,350,12438,45191,57629,,,,,,,,,,,,,1,192,2028,217,2245,434,440,874,1217,89650,341904
1980,1981,Syracuse,,,,,1,1,,,,340,16,1,47,103,22,403,125,528,14,4,30,18,2,825,30,171,170,1,20,25,,,,1,13,,36,,,,49,2,975,1363,2338,7,2121,2289,4410,2,505,180,685,63,14861,2,124,54,178,,,5095,15039,42655,30,,16,354,675,1075,3,1099,39734,412614,452348,,,,,,2,320,1,16,16,38,70,5,988,7121,601,7722,2316,1334,3650,4066,363005,1223710
1980,1981,Toledo,,,,,1,,1,,,210,8,,52,105,26,270,131,401,6,2,99,30,4,1511,36,166,138,28,14,,31,25,6,1,41,6,,1,55,,96,1,38,474,512,10,2930,2901,5831,6,1596,1557,3153,89,25406,6,618,541,1159,,,5380,16501,58038,68,2,13,425,1124,1632,6,2094,82494,417504,499998,1,36,246,108,354,3,428,1,58,35,183,276,3,628,6531,944,7475,1637,1470,3107,2855,347927,1438800
1980,1981,Trenton,,,,,1,,1,,,324,31,2,67,178,20,422,198,620,12,9,122,95,1,1300,21,213,213,,25,163,29,20,9,,,,65,2,,10,65,1,286,1227,1513,15,4734,7150,11884,7,1935,590,2525,113,39689,4,311,790,1101,2,88,5958,68479,131303,9,,89,654,1852,2604,2,903,33604,201635,235229,2,244,549,6500,7349,2,182,,,,57,57,2,202,13899,707,14606,3982,1601,5583,6934,888533,2665599
1980,1981,Tucson,,,,,1,,,,,77,6,,11,81,1,94,82,176,16,3,58,12,,325,,57,57,,19,,58,,58,,,,20,,,,20,,,,,1,482,475,957,1,57,137,194,17,4798,1,145,151,296,,,3395,15958,25618,6,2,4,151,205,368,4,774,27355,56307,83662,,,,,,,,,,,,,1,89,6165,333,6498,964,328,1292,1587,222065,875800
1980,1981,Tulsa,,,,,1,,,,,48,7,1,7,29,3,62,32,94,1,1,10,10,1,230,1,55,53,2,27,6,30,6,24,,,,14,,,,14,,,,,1,397,419,816,2,200,177,377,10,2204,2,103,177,280,,,1452,4224,9367,8,,10,32,160,210,2,1658,58829,95104,153933,,,,,,,,,,,,,1,79,1012,338,1350,162,352,514,405,47598,256600
1980,1981,Washington (Archdiocese),,1,1,1,,3,,1,1,303,16,,32,657,12,351,669,1020,,8,92,173,5,974,12,129,129,,10,9,211,82,129,,,,45,59,469,3,514,3,10894,9920,20814,5,1073,607,1680,21,4930,5083,10013,76,23698,7,611,609,1220,2,128,7567,20741,86375,64,3,88,467,1658,2280,3,1369,51305,179000,230305,1,28,63,198,261,2,1029,1,50,34,84,168,3,423,5744,952,6696,1175,998,2173,2047,396211,2098200
1980,1981,Wheeling-Charleston,,,,,1,1,,,,113,2,,18,79,4,133,83,216,12,1,10,14,2,442,2,124,122,2,49,21,25,9,16,2,40,41,13,,,,53,1,491,535,1026,8,1096,1073,2169,1,,165,165,34,5705,2,275,274,549,,,2531,6846,19044,21,2,2,124,394,543,6,1358,56138,200776,256914,,,,,,1,165,3,28,12,,40,5,398,1922,691,2613,367,609,976,1260,106368,1949644
1980,1981,Wichita,,,,,1,,1,,,104,13,3,18,25,5,135,30,165,,3,,3,3,453,14,95,86,9,17,,49,13,36,,,,24,,,,24,1,311,406,717,4,895,875,1770,,,,,28,5937,,,,,1,45,3194,5483,17170,6,,,115,325,446,7,2148,72207,427673,499880,,,,,,2,159,,,,,,2,228,2576,716,3292,510,543,1053,740,99902,855060
1980,1981,Wilmington,,,,,1,,,,,96,10,,14,92,5,120,97,217,3,4,21,33,,427,6,55,54,1,21,,65,16,49,,,,22,1,3,,25,,,,,5,1049,2256,3305,3,1470,412,1882,26,9985,4,553,551,1104,,,2372,7108,25781,40,8,8,160,536,752,1,290,10109,62190,72299,,,,,,,,3,18,21,42,81,2,136,2797,349,3146,557,613,1170,1055,122256,890608
1980,1981,Winona,,,,,1,,,,,124,13,,34,11,6,171,17,188,5,2,,38,1,713,27,124,94,30,,,17,13,4,1,16,23,6,,,,22,2,699,1321,2020,4,752,753,1505,,,,,23,5028,,,,,,,5469,16868,30912,19,,2,90,341,452,2,1095,31691,37374,69065,1,35,110,240,350,1,66,,,,63,63,4,393,2787,164,2951,680,526,1206,919,123024,516382
1980,1981,Worcester,,,,,1,1,,1,,283,27,2,50,160,27,360,187,547,3,3,30,94,5,750,22,128,128,,3,10,20,,20,,,,27,3,20,,57,3,2963,3641,6604,5,1072,1487,2559,3,1211,308,1519,21,4926,3,272,366,638,,,11757,34338,62398,75,,27,221,715,1038,1,600,18574,83802,102376,2,121,121,,121,1,250,2,43,6,20,69,1,83,4911,216,5127,1840,625,2465,3334,335806,643968
1980,1981,Yakima,,,,,1,,,,,49,7,,6,11,4,62,15,77,1,,1,1,1,61,1,40,36,4,7,2,11,1,10,,,,5,,,,5,,,,,1,138,122,260,,,,,7,1592,,,,,,,1250,4900,8007,1,,,25,72,98,1,239,10000,55000,65000,,,,,,,,,,,207,207,,,1650,149,1799,209,231,440,468,57900,395000
1980,1981,Youngstown,,,,,1,1,,,,196,14,2,58,59,7,268,66,334,3,6,11,48,2,493,2,117,115,2,2,6,82,10,72,,,,28,1,24,,52,1,407,419,826,6,2286,2331,4617,,,,,64,17830,,,,,,,4953,19774,48052,24,,,209,769,1002,3,1665,65228,245089,310317,,,,,,2,332,,,,,,3,324,4597,717,5314,1339,969,2308,2342,296799,1252689
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,12647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
