Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,WoResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"Educational Seminaries, Diocesan",Students From this Diocese,Students From Other Diocese,Diocesan Students in Other Seminaries,"Seminaries, Religious","Students, Religious",Diocesan students from this diocese,TotSemnr,College and Universities,Men,Women,Total Students (college and univ),"High Schools, Diocesan and Parish",Boys,Girls,Total Students (dioc hs),"High Schools, Private",Boys (priv hs),Girls (priv hs),Total Students (priv hs),"Elementary Schools, Diocesan and Parish",Total Students (dioc elem),"Elementary Schools, Private",. boys,. girls,Total Students (priv elem),Protective Institutions,Total Students (protective inst),Catechesis/Religious Education: High School Students,Catechesis/Religious Education: Elementary Students,Total Students Under Catholic Instruction,Teachers in the Diocese: Priests,Teachers in the Diocese: Scholastics,Teachers in the Diocese: Brothers,Teachers in the Diocese: Sisters,Teachers in the Diocese: Paid Lay Teachers,Total Teachers in diocese,General Hospital,Bed Capacity,In Patients treated Annually,Out-Patients treated annually,Total Patients,Special Hospital or Sanatoria,. Beds,In-patients treated (annual),out patients treated (annual),total patients (special hosp),Schools for nurses,Student Nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in Foster Homes,Total Dependent Children,Homes for Invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,Total Marriages,Dth,TotCath,TotPop
1980,1981,"Lafayette, LA",,,,,1,,,,,133,8,1,30,77,3,171,80,251,6,5,40,39,2,339,6,119,117,2,37,37,3,34,,,,,31,2,25,,56,,,,,12,1806,1744,3550,3,,531,531,30,10568,3,239,704,943,,,8538,33542,57728,,,14,167,730,911,2,539,33678,32073,65751,,,,,,,,,,,,,4,400,7555,205,7760,2069,421,2490,3238,320191,498093
1980,1981,Lake Charles,,,,,1,,,,,31,5,,3,30,,39,30,69,,2,15,1,,52,,35,35,,22,,,,,,,,13,,,,13,,,,,2,311,347,658,,,,,9,2930,,,,,,,3900,8635,16136,,,,21,184,205,1,266,12200,14500,26700,,,,,,,,,,,,,,,2074,231,2305,617,236,853,659,83163,226845
1980,1981,Lansing,,,,,1,1,,,,123,6,,20,69,8,149,77,226,9,,10,16,1,597,9,84,84,,7,,2,2,,,,,24,,,,24,1,732,1031,1763,5,1705,1623,3328,1,120,,120,39,10637,1,140,129,269,2,99,5181,16399,37820,1,,,102,524,637,4,1798,58039,424717,482756,1,155,1551,,1551,,,,,,,,1,124,4956,1074,6030,1061,1197,2258,1524,229287,1582786
1980,1981,Lincoln,,,,,1,,,,,99,6,2,15,23,5,120,28,148,1,,,21,1,161,2,86,86,,47,,7,4,3,,,,37,,,,37,,,,,6,691,759,1450,,,,,25,3992,,,,,,,2545,5924,13948,311,,,,,,2,293,13958,23962,37920,,,,,,,,,,,62,62,2,317,1839,441,2280,356,389,745,584,68210,513500
1980,1981,Little Rock,,,,,1,,,1,1,88,4,,16,55,5,108,60,168,2,1,6,62,2,531,1,86,75,11,35,6,52,8,44,,,,20,,,,20,,,,,4,957,196,1163,2,270,588,858,29,4980,3,232,154,386,,,2021,5366,14794,21,,22,91,249,383,8,2066,84855,194527,279382,,,,,,,,,,,,,1,92,1426,480,1906,193,567,760,632,62195,2285513
1980,1981,Los Angeles (Archdiocese),1,,,,,4,,,,495,32,1,71,654,26,598,680,1278,161,20,89,200,9,2487,50,279,279,,30,,300,95,205,3,240,78,2,8,203,,445,4,3662,4513,8175,35,11264,12208,23472,22,5386,6411,11797,226,74779,4,316,521,837,7,731,20340,177620,318196,147,15,112,979,3197,4450,17,5188,188216,932708,1120924,5,312,387,24000,24387,,,1,95,139,,234,5,626,59469,2298,61767,8685,2505,11190,13986,2231180,7968500
1980,1981,Louisville (Archdiocese),,,1,,,1,,1,1,215,8,,34,103,11,257,114,371,4,8,44,124,8,1461,9,126,119,7,23,13,148,25,123,,,,36,,,,36,3,1204,2371,3575,4,2712,167,2879,7,1523,3592,5115,77,20128,3,200,229,429,2,23,2228,6748,41161,26,,32,342,1449,1849,3,757,27848,96590,124438,1,416,4954,714,5668,,,3,108,93,32,233,3,239,4005,715,4720,815,848,1663,2702,206504,1301024
1980,1981,Madison,,,,,1,1,,,,181,5,,24,34,8,210,42,252,2,3,,11,4,656,9,138,113,25,,,,,,1,77,28,25,,,,102,1,136,439,575,1,136,143,279,337,399,389,788,46,8176,1,146,109,255,,,12902,17295,40372,11,,1,162,434,608,4,913,36261,69127,105388,,,,,,,,,,,85,85,5,321,3680,412,4092,1068,818,1886,1340,218007,872028
1980,1981,Manchester,,,,,1,1,1,1,1,226,14,,49,82,15,289,97,386,,3,,66,8,1179,22,126,124,2,38,26,85,40,45,,,,23,2,9,,32,5,1748,2969,4717,3,776,728,1504,3,650,448,1098,19,6505,4,163,368,531,4,292,10007,32942,57628,30,,22,269,506,827,2,464,20081,123873,143954,,,,,,2,140,4,174,118,6,298,6,490,4903,224,5127,1302,729,2031,2675,286411,784233
1980,1981,Marquette,,,,,1,,,,,98,7,1,25,16,6,130,22,152,1,,,4,3,157,1,89,87,2,41,32,10,7,3,,,,35,,,,35,,,,,1,39,52,91,,,,,12,2543,,,,,,,4713,9703,17085,,,,31,82,113,1,127,6300,35000,41300,,,,,,,,,,,,,1,109,1912,188,2100,559,380,939,1324,94579,304347
1980,1981,Memphis,,,,,1,,,,,51,4,,6,29,2,61,31,92,,2,20,53,1,176,2,43,34,9,10,4,12,7,5,,,,18,,,,18,1,808,510,1318,3,523,877,1400,3,869,290,1159,14,4014,3,213,219,432,1,44,2700,4720,15805,8,,24,48,362,442,2,1000,34000,77000,111000,,,,,,1,160,1,7,23,22,52,4,743,997,394,1391,171,347,518,427,49541,1500000
1980,1981,Miami (Archdiocese),,,1,,,2,3,,,266,13,,34,205,5,313,210,523,63,9,23,62,,644,4,134,134,,2,20,88,36,52,2,54,80,5,,,,59,2,2174,2982,5156,13,3672,5864,9536,5,2036,337,2373,60,24837,3,192,410,602,2,151,13073,50130,105467,52,,38,268,1507,1865,4,1676,55881,102684,158565,,,,,,1,200,3,98,38,111,247,9,1833,11274,703,11977,2743,941,3684,5493,836800,3469000
1980,1981,Milwaukee (Archdiocese),,,1,1,,2,,2,1,507,37,,100,442,53,644,495,1139,16,7,88,159,10,3612,49,266,261,5,19,32,170,131,39,3,139,48,4,7,443,,586,5,7492,10572,18064,7,2999,2650,5649,8,2336,3305,5641,176,43893,2,193,146,339,1,58,22146,40587,136963,176,4,33,702,2755,3670,13,3246,119257,696609,815866,2,192,1356,4909,6265,4,1520,4,156,81,34,271,19,2418,12882,862,13744,3891,2019,5910,5942,707033,2039217
1980,1981,Mobile (Archdiocese),,,1,1,,,,,,73,6,2,10,73,2,67,54,164,8,3,13,21,,282,,77,74,3,13,6,26,5,21,,,,14,,,,14,1,460,427,887,3,886,937,1823,,,,,27,7224,,,,,,,1466,3200,14614,7,,5,77,347,436,3,634,36874,76595,113469,3,106,106,,106,1,100,1,20,28,8,56,4,377,1262,355,1617,192,380,572,473,58467,1415213
1980,1981,Monterey,,,,,1,,,,,65,2,,20,29,,87,29,116,3,,,21,,180,,43,43,,12,3,12,2,10,,,,4,,,,4,,,,,1,,425,425,1,513,,513,12,3507,2,125,145,270,,,2600,11500,18819,7,,10,39,85,141,1,150,9100,31980,41080,1,30,37,,37,,,,,,,,,,4357,195,4552,637,230,867,972,95000,484363
1980,1981,Nashville,,,,,1,,1,,,71,4,,8,39,,83,39,122,,1,39,24,,173,1,60,55,5,19,24,12,2,10,,,,31,,,,31,1,142,147,289,3,1024,842,1866,3,,455,455,21,4749,5,166,246,412,1,250,1700,5186,14938,8,,,84,385,477,3,1445,60647,179698,240345,,,,,,1,159,,,,,,2,361,1519,521,2040,199,453,652,422,68110,2766093
1980,1981,New Orleans (Archdiocese),,,1,,1,2,1,1,,200,12,1,24,288,25,236,313,549,31,4,62,194,6,1150,19,135,134,1,9,15,59,,59,2,56,113,8,5,36,3,100,4,3258,4902,8160,13,2906,3936,6842,15,6119,5188,11307,89,42245,6,678,871,1549,,,3780,32300,106283,41,7,110,448,2620,3226,2,701,19544,78459,98003,,,,,,,,7,220,125,131,476,13,1870,9663,708,10371,2441,919,3360,4571,536155,1263200
1980,1981,New Ulm,,,,,1,,1,,,86,11,2,16,8,5,113,13,126,3,,1,,,169,10,94,73,21,,,,,,,,,22,,,,22,,,,,3,377,335,712,,,,,27,4135,,,,,,,5882,6594,17345,1,,,56,213,270,3,92,2982,8677,11659,,,,,,,,,,,,,3,232,1767,228,1995,412,372,784,669,73059,279054
1980,1981,New York(Archdiocese),1,,,1,,6,4,,,807,73,1,163,1420,144,1043,1564,2607,166,10,157,450,47,5700,133,409,409,,58,58,533,109,424,3,216,4,4,9,204,,424,14,30725,24864,55589,11,6312,4971,11283,56,12448,15865,28313,259,92102,17,1739,2265,4004,4,81,12931,99874,304601,171,7,225,1485,3830,5718,12,3997,125364,545180,670544,5,636,2363,38462,40825,3,639,15,1344,600,4819,6763,9,2158,30968,1334,32302,7727,2206,9933,16902,1839000,5044800
1980,1981,Newark (Archdiocese),,,1,,,5,,1,,661,46,1,116,361,8,823,369,1192,91,9,189,163,8,2394,35,248,248,,1,27,141,30,111,2,98,50,4,,,,102,4,7130,8788,15918,27,6541,7081,13622,20,5105,4361,9466,200,57959,9,825,1122,1947,1,100,10379,63789,173282,64,,116,970,2843,3993,9,2535,86557,293921,380478,,,,,,2,295,1,,27,27,27,2,167,17610,439,18049,6093,1626,7719,12505,1379500,2751159
1980,1981,Newton Melkite-Greek,,,,,,,,,,,,,,,,39,31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1981,Norwich,,,,,1,1,,,,110,4,,30,75,2,144,77,221,18,2,4,54,,348,9,76,75,1,10,20,22,13,9,,,,15,2,14,,29,1,6,34,40,3,1531,1441,2972,2,93,248,341,21,4475,,,,,1,75,5400,20228,33560,7,,15,104,272,398,,,,,,,,,,,,,,,,,,4,197,3141,153,3294,808,462,1270,1790,197027,576320
1980,1981,Oakland,,,,,1,,,,,118,9,1,26,234,9,153,243,396,20,1,30,174,2,600,19,87,87,,3,,,,,,,,19,3,318,,337,4,1352,1928,3280,4,926,1028,1954,7,2224,2360,4584,56,15664,,,,,,,1991,22520,50330,18,,16,159,675,868,2,460,13802,82589,96391,1,46,,,,,,,,,,,1,132,6765,693,7458,1489,897,2386,2764,394995,1748655
1980,1981,Ogdensburg,,,,,1,,,,,160,13,3,18,37,3,191,40,231,5,8,15,32,3,354,5,122,118,4,39,39,66,11,55,1,11,51,16,,,,27,1,87,223,310,2,324,344,668,1,279,182,461,26,5360,,,,,,,4234,17253,28313,18,,22,172,237,449,3,417,15702,67326,83028,1,32,128,,128,,,,,,,,5,523,2753,280,3033,931,473,1404,2014,168644,398898
1980,1981,Oklahoma City (Archdiocese),,,1,1,,,,1,2,93,8,1,13,38,1,114,39,153,1,1,16,16,,,3,72,72,,43,7,20,,20,,,,13,1,5,,18,1,180,161,341,1,336,306,642,1,155,157,312,16,2801,1,116,110,226,,,2451,6002,12793,17,,2,43,105,167,6,1653,56932,137601,194533,,,,,,1,60,1,12,12,,24,1,82,1971,587,2558,284,590,874,634,75222,1657400
1980,1981,Omaha (Archdiocese),,,1,,,,,1,,187,9,1,27,174,21,223,195,418,4,5,67,46,2,826,14,136,133,3,19,,29,9,20,,,,29,1,17,,46,1,52,699,751,17,2720,2572,5292,5,1020,998,2018,62,13759,2,150,151,301,1,700,5634,15494,43995,52,6,17,248,1107,1430,6,1768,49205,164401,213606,,,,,,,,,,,,,5,533,4771,651,5422,1169,763,1932,1708,214253,758125
1980,1981,Orange,,,,,1,,,,,101,3,1,14,77,,118,77,195,25,4,30,11,,480,5,50,50,,6,4,11,,11,,,,40,1,17,,57,1,40,400,440,2,1055,1570,2625,2,929,400,1329,33,13378,2,437,240,677,,,6495,27018,52019,24,,7,173,570,774,2,809,34274,235556,269830,,,,,,,,,,,46,46,1,90,9431,621,10052,1629,899,2528,2005,347737,1914926
1980,1981,Orlando,,,,,1,,,,,94,6,,21,38,,121,38,159,9,3,3,2,,180,,61,61,,5,15,31,4,27,,,,23,,,,23,,,,,5,1330,1383,2713,,,,,27,8456,,,,,,,4213,12844,28249,7,90,7,90,407,504,1,40,1133,3366,4499,,,,,,,,,,,120,120,1,420,3448,560,4008,682,798,1480,1994,179000,2010000
1980,1981,Owensboro,,,,,1,,,,,68,1,,6,18,1,75,19,94,1,,,11,1,292,6,76,53,23,,2,7,2,5,,,,28,1,3,1,31,1,359,501,860,4,836,775,1611,1,,71,71,28,5049,,,,,,,1498,2513,11633,4,,5,75,249,333,2,445,17121,44906,62027,,,,,,,,,,,,,2,152,1274,309,1583,208,285,493,441,50236,677231
1980,1981,Parma-Byzantine,,,,,1,,,,,43,1,,6,7,,50,7,57,9,3,1,,,28,,55,55,,7,,7,1,6,,,,25,,,,25,,,,,,,,,,,,,6,982,,,,,,,701,1605,3313,6,,,17,14,37,,,,,,,,,,,,,,,,,,,,412,63,475,148,59,207,275,,35204
1980,1981,Passaic - Byzantine,,,,,1,1,,,,73,5,,13,23,,91,23,114,3,3,3,1,,32,,90,82,8,5,,16,,16,,,,18,,,,18,,,,,,,,,,,,,7,921,,,,,,,1154,3246,5339,,,,28,22,50,,,,,,,,,,,,,,,,,,,,613,48,661,273,91,364,622,96644,
1980,1981,Paterson,,,,,1,,,2,2,231,31,1,43,246,14,305,260,565,10,3,68,61,1,1079,8,104,104,,2,7,72,41,31,,,,23,5,135,,158,3,16,917,933,8,2502,2583,5085,6,794,837,1631,67,16962,,,,,,,4495,29616,58880,95,,16,338,915,1364,3,1064,38090,154926,193016,7,446,1022,256,1278,,,1,14,12,,26,2,279,7585,182,7767,1541,673,2214,2352,300530,958200
1980,1981,Pensacola-Tallahassee,,,,,1,,,,,50,2,,5,15,,57,15,72,4,4,19,,,66,,38,38,,14,4,1,,1,,,,21,,,,21,,,,,1,414,371,785,,,,,8,1985,2,360,376,736,,,1311,3579,8417,,,,27,136,163,1,339,16002,47350,63352,,,,,,,,,,,,,2,86,966,275,1241,173,252,425,300,42813,819811
1980,1981,Peoria,,,,,1,,1,1,,200,8,1,47,98,14,255,112,367,6,5,36,17,,637,4,171,159,12,43,,104,40,64,,,,41,2,,,43,,,,,6,1921,1989,3910,2,200,201,401,58,12686,1,40,55,95,,,7486,17842,42461,21,,10,195,645,871,9,2688,100436,604351,704787,3,405,,,,1,203,2,97,86,137,320,3,300,4651,971,5622,874,1068,1942,2319,243065,1501917
1980,1981,Philadelphia (Archdiocese),1,,1,,,3,,1,,837,26,1,114,563,87,977,650,1627,25,,,220,6,5615,92,307,307,,12,12,418,50,368,1,109,42,,5,98,,207,10,11240,17085,28235,30,20986,22908,43894,22,3314,3731,7045,269,113166,21,2146,2402,4548,16,589,13276,34050,245100,250,6,71,2327,6280,8934,10,2615,84292,519320,603612,7,,,,,7,1642,14,333,222,303,858,15,2055,20827,3067,23894,5972,2339,8311,12325,1364816,3616400
1980,1981,Philadelphia-Ukranian,,,1,,,,,,,96,,,26,12,2,122,14,136,,,2,1,,210,,111,96,15,15,,32,6,26,1,4,1,29,,,,33,1,13,291,304,,,,,1,,341,341,15,2372,1,139,144,283,,,673,2326,6333,6,,,58,142,206,,,,,,,,,,,,,2,5,12,,17,3,406,747,35,782,343,128,471,799,167419,
1980,1981,Phoenix,,,,,1,,1,,,106,3,1,7,118,1,116,119,235,24,4,77,20,,318,,77,77,,22,22,15,,15,,,,37,,,,37,,,,,5,841,1517,2358,1,871,,871,26,7924,,,,,,,4859,18060,34109,22,5,2,133,355,517,1,591,25359,42863,68222,,,,,,,,,,,52,52,3,376,7231,481,7712,981,560,1541,2134,248150,1645800
1980,1981,Pittsburgh,,,,,1,2,,,,562,40,2,57,243,75,659,318,977,5,3,27,59,17,3088,49,321,319,2,24,6,159,57,102,1,39,,60,1,7,,106,3,4114,5084,9198,18,4408,3818,8226,10,205,1849,2054,141,38017,4,269,304,573,3,377,19423,56904,134878,42,,37,871,1648,2598,5,1562,61330,229134,290464,3,294,294,,294,2,279,2,53,19,72,144,11,1266,11829,810,12369,4171,2220,6391,8806,913957,2241430
1980,1981,Pittsburgh - Byzantine,,,1,,,1,,,,74,1,,5,10,,80,10,90,2,,,6,,139,,84,70,14,,,,,,1,14,26,,,,,14,,,,,,,,,,,,,6,993,,,,,,,1490,5280,7777,,,,27,23,50,,,,,,,,,,,,,,,,,,2,68,704,52,756,248,104,352,520,151837,
1980,1981,"Portland, ME",,,,,1,1,,,,182,6,,39,96,25,227,121,348,10,,,40,10,844,44,143,136,7,58,12,97,10,87,,,,19,,,,19,1,246,251,497,1,166,211,377,2,357,264,621,21,5847,1,164,211,375,,,8791,29375,45902,15,2,11,181,221,430,3,539,19644,258150,277794,,,,,,3,374,,,,,,7,1171,4447,432,4879,1294,882,2176,2748,273043,1028000
1980,1981,"Portland, OR (Archdiocese)",,,1,1,,,,2,1,152,12,1,30,235,6,194,241,435,15,,1,68,1,869,8,123,121,2,29,4,47,20,27,1,3,,44,3,21,39,68,2,1807,1734,3541,3,663,192,855,7,1247,1839,3086,50,9758,2,30,266,296,,1,3979,10768,32351,84,,34,300,658,1076,5,1604,64565,239242,303807,,,,,,,,2,47,50,67,164,4,715,4347,902,5249,641,1283,1924,1633,304095,2263919
1980,1981,Providence,,,,,1,1,1,1,,316,23,1,55,175,35,394,210,604,12,11,62,172,7,1239,48,159,156,3,5,65,109,45,64,1,14,2,24,1,4,,42,2,3301,4442,7743,7,3170,1059,4229,6,748,2319,3067,60,16341,5,610,662,1272,,,16416,42129,91239,100,4,75,501,1157,1837,1,510,16628,74522,91150,,,,,,1,66,4,174,65,,239,7,595,7311,253,7654,2629,623,3253,5661,615329,947154
1980,1981,Pueblo,,,,,1,,1,1,1,76,10,1,13,50,1,99,51,150,,1,3,16,1,202,,59,57,2,59,18,13,12,1,,,,11,,,,11,,,,,1,42,52,94,2,150,133,283,9,1256,,,,,1,63,4622,10663,16992,,,5,40,79,124,6,963,36414,236174,272588,,,,,,,,,,,,,2,144,2623,201,2824,498,257,755,1120,102923,471234
1980,1981,Raleigh,,,,,1,1,,,,50,2,1,13,24,,65,24,89,5,2,2,7,,118,,57,55,2,19,7,6,,6,,,,12,,,,12,,,,,1,116,107,223,,,,,19,3842,,,,,,,1835,5182,11094,,,,55,127,182,1,90,227,641,868,,,,,,,,1,6,3,,9,,,1184,242,1426,130,380,510,264,47092,2757569
1980,1981,Rapid City,,,,,1,,,,,31,,,5,53,,36,53,89,1,,11,13,,89,2,55,51,4,29,22,4,2,2,,,,9,,,,9,,,,,,,,,2,222,214,436,1,370,2,215,198,413,,,1865,4497,7590,6,4,,23,83,116,1,39,6632,9790,16422,,,,,,,,,,,,,,,1089,134,1223,203,215,418,531,40138,178208
1980,1981,Reno-Las Vegas,,,,,1,,,,,36,2,,14,48,,52,48,100,9,3,1,12,,130,2,41,38,3,16,14,23,2,21,,,,9,,,,9,,,,,2,693,810,1503,,,,,11,2982,,,,,1,45,2035,7165,13739,10,,7,43,139,199,2,408,20900,84100,105000,,,,,,,,,,,,,,,1850,322,2172,387,313,700,794,144000,800000
1980,1981,Richmond,,,,,1,,1,,,129,6,2,15,51,13,150,64,214,41,2,1,13,2,423,11,103,103,,27,,16,,16,,,,30,,,,30,,,,,6,707,874,1581,4,548,620,1168,26,7429,2,227,260,487,,,4434,12218,27347,7,,5,133,550,695,5,1277,50199,242473,292672,1,44,335,,335,2,86,3,105,106,50,261,3,167,2499,565,3064,311,800,1111,1030,112262,3694749
1980,1981,Rochester,,,,,1,1,1,1,1,315,6,1,67,121,33,388,154,542,6,5,,60,10,1035,28,161,161,,28,,3,2,1,2,37,32,,,,,37,,,,,1,82,111,193,8,3084,3658,6742,73,19882,6,295,338,633,,,7919,34631,70037,18,,27,213,1073,1331,4,976,21475,199116,220591,,,,,,2,189,1,60,16,33,109,3,888,7093,610,7703,1975,1303,3278,3655,372340,1480500
1980,1981,Rockford,,,,,1,,,1,,152,6,2,19,77,11,177,88,265,3,2,61,22,3,562,7,102,100,2,7,,56,12,44,,,,18,,,,18,,,,,6,1886,1951,3837,2,368,320,688,48,11606,,,,,,,5317,19706,41172,26,,2,138,571,737,4,1053,99368,185195,284563,,,,,,1,128,2,61,49,94,204,3,283,4881,506,5388,890,708,1598,1479,235921,1019307
1980,1981,Rockville Centre,,,,,1,2,1,,,405,21,2,62,125,27,488,452,640,26,14,80,130,6,2048,37,129,129,,10,,,,,2,278,33,47,1,13,,338,2,167,1995,2162,7,4460,5361,9821,9,2862,2361,5223,84,35672,4,195,467,662,1,110,35555,101075,190618,19,,97,675,1625,2416,4,1264,55165,223645,278810,,,,,,,,,,,,,2,350,18717,290,19007,6543,2174,8717,9917,1040915,2782114
1980,1981,Sacramento,,,,,1,,1,1,1,154,7,,29,78,5,190,83,273,11,1,1,51,1,312,3,92,91,1,44,15,78,10,68,,,,13,2,12,,245,,,,,4,345,1394,1739,5,1487,794,2281,41,10776,1,118,105,223,,,3012,15213,33269,15,4,17,139,567,742,5,749,35814,154927,190741,2,99,1819,560,2379,,,2,47,35,,82,2,138,6296,724,7020,1059,795,1854,2219,242510,1932515
1980,1981,Saginaw,,,,,1,,,,,111,10,2,28,29,4,149,33,182,2,,22,6,2,248,3,104,95,9,13,,,,,,,,29,,,,29,,,,,4,1025,1063,2088,,,,,35,7414,1,117,105,222,,,2371,7545,19669,,,1,85,313,399,1,255,9520,35483,45003,,,,,,,,1,20,20,,40,1,100,2804,363,3167,815,590,1405,1181,178405,614023
1980,1981,Salina,,,,,1,,,,,68,2,,10,31,8,80,39,119,2,1,,9,,348,11,98,64,34,,,36,10,26,,,,9,1,31,1,40,1,272,572,844,6,377,604,981,1,275,,275,12,1986,,,,,,,2835,6177,13138,15,,3,54,133,205,4,531,18063,72301,90364,,,,,,1,81,1,3,13,73,89,3,208,1521,296,1817,360,345,705,524,61011,327903
1980,1981,Salt Lake City,,,,,1,,1,1,,43,9,1,5,48,1,57,49,106,4,,20,17,,106,1,39,38,1,10,6,29,2,27,,,,5,1,3,,8,,,,,2,466,467,933,,,,,8,2126,,,,,,,844,5343,9254,11,,,37,100,148,2,510,26048,226605,252653,,,,,,,,,,,,,1,98,1635,297,1932,222,265,487,430,59750,1461032
