Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2007,2008,,OR,Portland in Oregon,,,1,,,1,,2,2,97,4,1,51,153,171,324,19,3,,3,11,48,94,437,124,79,34,7,1,0,0,3,0,,24,1,,,4,13,172,9,1870275,12,22689,9,2283,,,4,1072,6,717,16,961323,3,43,,,1,26,101,17,37,,80,2,5420,3,1381,7,4095,39,8740,2,442,,,3615,11924,35697,30,,4,36,1234,5985,476,437,540,5108,2600,694,355,1049,1964,405293,3188180
2007,2008,,ME,"Portland, ME",,,,,1,0,,,,79,1,,80,160,32,192,8,5,,2,,33,18,332,109,62,6,61,0,0,1,0,0,,35,,9,21,,5,51,3,421650,,,4,667,,,2,226,,,5,43134,,,7,891,,,,9,,,9,1,3972,1,270,2,792,14,3149,1,183,,,1350,8091,17816,1,1,,4,455,1720,131,149,208,2394,2549,473,266,739,2520,191008,1321574
2007,2008,,RI,Providence,,,,1,1,0,4,1,2,173,6,,105,284,120,404,13,4,,5,,104,98,536,150,134,9,7,0,0,0,0,0,,5,22,,,1,16,86,1,250000,1,200,9,46579,,,2,120,2,178,8,61900,1,3,6,90000,1,7,8,14,,,21,2,7604,4,2222,8,4036,40,9092,4,1316,,,7719,24924,56934,52,,31,66,1673,4024,741,149,94,4688,4743,1109,225,1334,5504,629889,1067610
2007,2008,11/15/1941,CO,Pueblo,,,,,1,0,1,,,31,2,1,39,73,20,93,4,1,,2,12,42,2,60,52,31,9,9,1,0,0,2,0,,54,,,,3,11,54,5,922000,2,5000,1,847,,,,,,,1,5650,,,,,,,,6,,,6,,,,,,,3,868,1,154,,,2650,5723,9401,,,,4,118,2327,178,432,1758,762,,247,118,365,2115,115000,621000
2007,2008,12/12/1924,NC,Raleigh,,,,,1,0,1,,,59,2,,32,93,49,142,17,2,2,2,,39,1,50,81,44,25,1,0,0,4,1,0,,15,7,1,,,,,,,,,,,,,,,,,10,32662,,,,,,,,20,,,20,,,1,1133,1,85,32,7914,,,,,3743,17470,30365,1,,,5,596,5703,240,201,,4569,2360,496,495,991,990,204644,4277268
2007,2008,8/4/1902,SD,Rapid City,,,,,1,0,,,,27,1,,12,40,15,55,2,,,,,25,2,52,88,22,4,61,0,0,1,0,0,,29,4,,,,13,69,,,,,,,,,1,44,2,2500,6,13726,,,2,,,,,8,,,8,,,1,258,1,230,1,609,1,334,,,1107,2952,5498,2,1,,2,122,496,47,22,108,437,461,84,71,155,584,27161,227211
2007,2008,3/27/1931,NV,Reno,,,,,1,0,1,,,20,,,9,29,8,37,15,1,,,16,25,5,34,28,16,5,2,4,0,1,0,0,,6,,,,5,10,22,1,186266,3,27000,,,,,2,203,,,9,38000,,,,,,,,4,,,4,,,1,677,,,4,1059,,,,,1427,4439,7606,,,2,1,159,1970,48,94,162,1554,592,222,47,269,383,129675,682498
2007,2008,,VA,Richmond,,,,,1,0,1,1,1,92,9,,47,148,33,181,27,2,,,,20,12,179,146,121,9,12,3,0,0,1,0,,6,,,,12,162,468,10,675000,,,18,1910,,,2,98,7,11200,,,5,2800,6,29985,,,,16,,,16,,,4,1162,4,847,23,6206,2,750,,,6310,18274,33565,,,,20,751,3673,130,69,432,3541,2343,500,435,935,1679,228704,4923801
2007,2008,,NY,Rochester,,,,,1,0,,2,1,108,6,,70,184,51,235,30,2,,1,6,145,26,508,136,85,3,32,4,0,10,4,0,,6,,4,8,1,68,322,2,237000,2,1150,4,1500,,,1,185,8,600,73,820000,10,90,,,,,,2,,,2,,,1,114,6,3318,40,6989,2,318,,,5214,17911,33866,1,,6,27,858,3306,,170,527,3316,3172,895,383,1278,3427,313582,1490905
2007,2008,9/23/1908,IL,Rockford,,,,,1,0,2,1,2,138,6,1,43,188,44,232,11,7,,7,,130,13,178,104,84,7,12,1,0,0,0,0,,1,1,,,,,,3,537529,18,127187,7,2544,,,1,45,,,11,16491,,,,,,,,27,,,27,1,115,6,3321,2,988,41,11130,,,,,4152,24706,44439,27,,13,18,1062,7331,118,198,397,6887,4753,843,311,1154,2069,441450,1604210
