Year,Year_OCD,Diocese,Cd,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Priests: Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,Completely Vacant,NewPrshCreat,Clsd Prsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcss,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,TColl/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop,,,,,,,,,,,,,
1995,1996,Brownsville,,,,1,,1,,,36,5,,18,59,54,7,1,,2,,82,15,139,61,26,26,9,,,,,,47,1,,,,,31,51,,,1,63,2,45900,,,1,56,1,423,4,88493,,,1,1100,,,,14,,,14,,,,,1,679,6,2179,2,474,,,8072,25624,37042,1,,7,19,187,8169,475,644,6737,2538,1233,115,1348,2045,689657,851909,,,,,,,,,,,,,
1995,1996,Buffalo,,,,1,1,2,,,336,12,1,113,462,193,3,4,,4,,85,50,1540,266,216,14,34,1,,1,,,11,1,,,1,,,,7,884718,,,16,1624,,,2,186,3,291,4,2816,,,,,2,17,6,2,3,10,29,7,14641,,,17,5912,88,23035,6,1785,,,12698,42410,98725,26,,6,173,1805,8325,366,430,8432,5584,2253,952,3205,7338,755427,1619282,,,,,,,,,,,,,
1995,1996,Burlington,,,,1,,,,,94,5,,39,138,49,2,1,,1,,40,22,271,93,79,14,6,,,,,,40,1,,1,3,,21,32,1,46000,,,4,140,1,16,,,,,,,,,1,7594,,,,10,,,10,3,4704,2,634,,,9,1768,2,667,,,3084,10362,21229,16,,5,47,433,2016,102,141,1957,830,604,319,923,1562,146709,580209,,,,,,,,,,,,,
1995,1996,Camden,,,,1,,1,,,297,37,2,,336,54,16,4,,,,96,15,376,126,118,8,,,,,,,,31,,,,,,,1,191778,2,7955,5,1015,2,16,1,57,,,13,7994,,,,,,,,19,,,19,,,8,4766,3,1071,61,16660,,,,,851,25229,48596,21,,1,123,959,7592,519,428,6585,5271,1573,682,2255,3989,405541,1281692,,,,,,,,,,,,,
1995,1996,Charleston,,,,1,,,1,2,68,4,1,25,98,42,9,5,,2,,63,21,175,86,58,16,5,1,,5,1,,27,10,,1,,2,41,39,4,314394,1,267,1,20,,,,,,,8,227175,,,,,,,,14,,,14,,,3,1367,,,24,6144,,,,,2528,8726,18779,2,,,20,531,1780,315,464,2087,1677,564,500,1064,762,105247,3664000,,,,,,,,,,,,,
1995,1996,Charlotte,,,,1,,1,1,1,58,7,,17,82,63,4,3,,2,15,57,3,163,66,44,22,,,,,,,24,4,,,,1,22,55,1,42325,4,138235,1,115,,,4,296,1,40,1,5500,1,64,3,38204,,,,18,,,18,2,816,2,997,,,15,5244,,,,,2757,10023,19855,6,,1,13,372,2309,242,431,1962,1051,346,394,740,686,99317,3519890,,,,,,,,,,,,,
1995,1996,Cheyenne,,,,1,,,,,38,2,,14,54,10,1,3,,1,,3,1,36,37,31,4,1,1,,,,,42,,,,,3,17,35,,,,,2,94,,,3,150,1,150,10,12197,,,,,,,,4,4,,,,,,,,,7,1275,,,,,2469,6917,10665,2,,,4,93,1174,155,328,1145,809,149,169,318,535,46903,475981,,,,,,,,,,,,,
1995,1996,Chicago (Archdiocese),1,,,,6,2,,,639,32,5,312,988,845,81,14,14,6,6,603,460,3510,377,314,55,7,,,1,,,10,9,,1,1,11,213,476,20,2769633,1,4000,28,5180,,,11,2056,23,10895,46,93407,9,1266,49,331427,3,340,123,1,1,119,460,6,37845,9,2995,38,31186,279,103503,1,361,7,578,9344,94050,280322,62,,70,475,6192,39374,1749,1339,28772,19566,9304,2278,11582,19458,2338000,5700608,,,,,,,,,,,,,
1995,1996,Cincinnati (Archdiocese),,1,,1,,,,,242,14,2,108,366,281,6,1,,,5,125,179,1471,237,164,36,37,,,,,,,1,,,1,3,89,202,11,1572000,1,265,11,1629,4,740,2,201,3,205,6,972000,1,18,4,960,1,26,19,,,,26,4,18805,18,12442,4,2804,112,39144,2,962,,,5953,35308,115444,14,,30,147,3090,8340,1342,781,9377,7332,2006,1380,3386,4653,545300,2869200,,,,,,,,,,,,,
1995,1996,Cleveland,,,,1,2,,1,,383,19,5,115,552,157,29,5,,3,8,144,73,1694,237,213,19,2,1,,1,,1,1,3,,1,,,,,6,666563,,,24,2813,1,259,6,931,5,1212,22,441915,2,222,3,96160,2,46,1,1,,7,54,3,6388,7,4316,16,10217,134,48787,8,2461,1,77,7401,45111,124812,32,,20,291,3061,11173,1181,969,12153,9480,3131,1802,4933,8673,825356,2804085,,,,,,,,,,,,,
