Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2010,2011,3/10/1951,Greensburg,PA,,,,,1,1,,1,,76,,,33,109,66,175,2,,1,,,2,45,196,85,58,6,21,,,,,,,,,,,,11,65,,,,,2,191,,,,,,,6,16572,1,90,,,,,7,,1,24,31,2,4070,2,622,,,14,2681,3,270,,,1669,7390,16733,18,7,,9,245,1210,42,63,348,1530,578,323,214,537,2212,156497,673477
2010,2011,,Harrisburg,PA,,,,,1,,,,,99,7,,35,141,32,173,9,2,,1,23,69,1,330,89,75,11,3,,,,,,,8,,,,1,16,77,1,226911,,,3,392,1,30,,,4,226,19,3480,,,,,,,26,,,,26,,,7,3485,,,37,8398,,,,,1487,15939,29335,1,,,34,776,1988,484,285,384,2878,2836,371,314,685,2083,235177,2176716
2010,2011,,Hartford,CT,,,1,1,,1,1,,,191,11,,107,309,97,406,44,5,,5,9,280,32,669,213,163,14,36,,,,,,,1,,,,2,25,132,3,880582,2,2725,6,2946,2,173,9,420,,,18,32694,10,33,2,52000,1,,39,,1,105,144,2,4287,4,1980,5,2629,54,11252,2,210,,,12091,43043,75636,11,5,,14,978,5794,225,163,425,7397,6946,1126,211,1337,7598,610944,1863384
2010,2011,,Helena,MT,,,,1,1,,,,,44,5,1,23,73,7,80,5,1,,1,,25,2,31,57,40,3,5,2,,2,2,,,39,14,,,,13,,2,275685,,,,,,,3,127,,,,,,,,,1,,12,,,,12,1,1428,2,331,,,4,814,,,,,1055,2376,6016,1,2,,1,137,559,142,,61,582,653,111,50,161,742,45308,572174
2010,2011,12/3/1981,Holy Protection of Mary - Byzantine,,,,,,1,,,,,14,1,,7,22,1,23,3,,,1,,10,2,3,19,18,1,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,1,28,,,,3,,,3,,,,,,,,,,,,,70,380,453,,,,,,64,9,6,15,103,106,15,5,20,39,2451,
2010,2011,9/10/1941,Honolulu,HI,,,,,1,,,,,38,7,,18,63,66,129,26,,,1,,58,32,148,66,36,26,4,,,,,,,24,,,,1,5,43,,,2,2526,,,,,1,440,1,29,1,242,,,,,3,3,7,,,,10,1,2655,3,895,4,2005,22,5579,3,777,,,2278,4903,19102,5,16,,42,829,2469,157,144,282,1823,1252,385,160,545,1596,221210,1294178
2010,2011,6/5/1977,Houma-Thibodaux,LA,,,,,1,,,,,40,1,,18,59,9,68,,,,,,40,5,26,39,37,,2,,,,,,,2,,,,5,5,30,,,,,1,60,,,1,85,2,60,5,7400,,,,,,,14,,,,14,,,3,1860,,,10,3858,,,,,2764,4829,13325,,2,,,376,1344,29,31,41,1258,883,254,36,290,1257,111056,202000
2010,2011,12/19/1944,Indianapolis,IN,,,1,,,,1,1,3,99,1,,45,145,93,238,22,,1,,27,31,33,579,139,93,13,21,1,,8,3,,,12,,,,3,45,175,2,1357498,,,3,508,,,1,93,2,909,16,166441,,,,,1,10,16,15,1,122,148,2,3957,7,3480,4,2349,58,16535,1,75,,,3122,12305,41971,1,2,,21,1539,3915,396,451,536,3823,2458,604,396,1000,1839,224926,2430606
2010,2011,6/6/1977,Jackson,MS,,,,,1,1,,,,36,,,17,53,32,85,1,1,,,,7,9,163,75,30,13,15,1,1,3,6,4,2,26,,,,1,7,29,1,126114,1,8065,1,450,3,473,2,183,7,6738,17,19306,3,63,3,78,,,9,,,,9,2,46,4,1200,,,15,3286,,,,,1201,3742,9484,,4,,8,385,915,83,87,307,795,395,95,139,95,441,49068,2111593
2010,2011,7/2/1956,Jefferson City,MO,,,,,1,,,,,59,2,,30,91,14,105,14,2,,1,,69,1,47,95,53,6,30,2,,3,1,,,15,,,,1,15,135,1,246672,14,121510,,,,,,,,,2,48073,,,,,,,20,,,,20,,,2,944,,,37,6159,,,,,1990,3402,12515,9,1,,14,549,1034,108,173,256,1335,1362,238,183,421,727,80626,878672
2010,2011,3/24/1949,Joliet in Illinois,IL,,,,,,2,1,1,2,116,4,1,61,182,117,299,12,5,,2,,198,62,484,120,97,15,8,,,,,,,10,,,,,37,225,3,762949,,,16,3054,,,4,1630,1,2900,5,33651,1,124,,,,,20,,,,20,3,16041,3,1944,4,3525,50,17011,,,,,3810,48535,90886,20,7,,40,1437,7980,176,243,1013,9376,8320,1161,364,1525,3717,658901,1927850
2010,2011,6/23/1951,Juneau,AK,,,,,1,,,,,5,1,,4,10,2,12,,,,1,,3,,2,9,4,3,,,,,,,,17,,,,,2,11,1,45000,,,,,,,1,100,,,1,10000,,,1,15000,,,1,,,,1,,,,,,,1,125,,,,,104,482,712,,,,,10,64,12,4,6,87,64,9,3,12,29,10000,75000
2010,2011,7/21/1971,Kalamazoo,MI,,,,,1,,,,,42,3,,3,61,9,70,7,,,1,,38,1,217,46,34,8,3,,,1,,,,13,1,,,1,5,,3,533795,5,504115,3,417,,,17,456,4,268,7,36523,,,,,,,14,,,,14,,,3,609,,,19,2593,,,,,1301,6105,10622,,,,1,251,1306,41,138,177,1244,1101,190,122,312,812,102152,950990
2010,2011,8/9/1952,Kansas City in Kansas,KS,,,1,1,,,,1,2,73,1,1,26,101,55,156,18,1,1,1,,5,12,489,110,60,10,40,,,,,,,,,,,,10,87,3,636179,4,8224,3,665,,,2,94,40,97,5,34277,,,,,,,28,,,1,29,3,4679,6,3387,1,174,38,11768,3,180,,,2695,13707,36619,,,,13,1100,3683,246,221,463,3937,3427,623,353,976,1507,206334,1310957
2010,2011,8/29/1956,Kansas City-St. Joseph,MO,,,,,1,1,,1,,65,4,1,28,98,82,180,7,4,,,,58,35,236,87,61,17,7,1,,,1,,,11,,1,,2,2,100,3,299207,,,11,2335,,,8,1324,,,7,257274,1,32,1,32,1,8,18,113,,,26,2,5591,4,1150,4,2391,27,7686,1,313,,,2117,6360,25634,7,1,,14,1154,2083,194,233,414,2365,2274,468,320,788,1117,133406,1546381
2010,2011,9/8/1988,Knoxville,TN,,,,,1,,,,,45,6,,100,61,13,74,9,1,,1,1,57,10,34,47,34,4,9,,,,,,,,2,3,,,2,29,2,447006,1,278,1,600,,,,,2,119,7,57725,,,,,,,15,,,,15,,,2,1086,,,8,2148,,,,,1162,3517,7928,2,,,13,202,1147,100,85,293,996,672,162,122,284,378,63262,2350312
2010,2011,,La Crosse,WI,,,,,1,,,,,93,10,3,54,160,19,179,42,,,,,40,4,384,165,103,5,57,,,,,,,,,,,,13,40,9,606472,,,10,1103,,,2,136,5,8847,2,4598,,,,,1,6,25,1,,,31,1,3088,7,1565,,,63,7138,,,,,3798,12471,28091,10,,,17,832,2053,,101,282,2469,2314,504,250,754,1953,185850,849626
2010,2011,10/21/1944,Lafayette in Indiana,IN,,,,,1,1,,,,63,27,,27,117,13,130,6,4,,4,,17,3,49,62,45,6,11,,,,,,,,,,,3,18,80,8,756162,,,1,590,,,,,,,,,,,,,,,28,,,,28,3,4621,2,915,,,18,4257,,,,,3767,9353,22941,1,3,,10,350,1837,135,173,415,2262,1646,243,184,427,761,95991,1296384
